baby_sex,lmp_gestational_age,weight,sum,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200
F,17,88,88,0,9,11,3,4,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
F,18,150,238,0,28,10,4,6,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
F,19,227,465,0,102,37,10,10,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
F,20,374,839,0,111,159,25,22,6,3,5,5,1,6,0,1,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
F,21,543,1382,0,43,233,136,39,18,12,3,5,2,3,1,1,3,1,2,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
F,22,662,2044,0,20,113,252,138,50,20,6,8,3,3,3,4,3,4,4,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
F,23,1053,3097,0,22,60,185,370,216,79,25,19,10,10,6,6,5,5,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
F,24,1420,4517,0,7,51,139,307,380,232,63,40,18,18,10,7,4,6,4,3,4,3,3,3,8,5,10,12,12,22,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
F,25,1590,6107,0,2,25,102,182,265,379,233,126,36,16,18,6,11,7,6,5,7,9,7,10,12,8,8,13,25,16,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
F,26,1854,7961,0,7,21,59,129,147,309,363,281,140,78,26,19,12,12,17,5,11,6,15,11,8,15,21,16,32,22,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
F,27,2206,10167,0,2,7,34,84,135,241,311,368,276,177,104,60,35,17,17,15,15,17,23,13,23,14,33,30,24,35,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
F,28,2960,13127,0,2,5,26,51,97,158,212,308,318,373,267,172,88,65,34,32,18,24,22,23,15,30,28,34,43,48,64,51,46,49,41,45,46,37,28,25,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
F,29,3589,16716,0,1,4,15,22,51,110,141,221,302,395,374,367,227,156,77,70,45,42,36,37,36,34,38,38,65,58,74,87,77,63,66,62,54,32,39,28,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
F,30,4514,21230,0,1,3,6,26,30,57,90,163,190,292,354,457,409,392,278,167,107,71,47,49,66,60,58,69,73,65,103,99,95,92,100,98,89,65,65,46,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
F,31,5964,27194,0,2,3,5,11,18,32,50,112,141,213,273,414,480,584,469,428,320,248,204,112,106,86,106,93,108,111,121,134,148,137,147,112,116,77,85,69,45,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
F,32,8402,35596,0,0,1,1,3,3,1,24,54,84,162,217,353,420,638,649,811,749,600,474,327,299,206,226,155,161,151,211,148,207,161,188,155,141,89,95,62,49,38,30,11,11,6,4,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
F,33,12255,47851,0,0,2,1,1,4,3,8,16,59,101,159,262,322,540,589,866,1005,962,1057,834,792,573,482,346,394,309,342,282,333,267,282,213,211,118,137,114,66,69,33,22,9,14,9,9,4,3,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22
F,34,21243,69094,0,0,0,2,0,2,4,2,5,33,70,102,176,283,443,552,820,1132,1347,1720,1574,1857,1540,1453,1104,1065,795,807,644,642,508,554,406,393,302,243,170,133,127,60,44,24,31,10,8,5,6,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
F,35,32129,101223,0,0,0,2,0,0,1,3,3,20,27,44,77,150,265,327,509,829,1102,1671,1742,2448,2351,2651,2368,2469,1859,1949,1420,1476,1142,1106,793,807,629,517,387,282,218,135,98,59,55,39,29,10,7,4,4,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
