CODE,DISPLAY,CATEGORY,STATUS,AGE GROUP,GENDER,RACE,GIVEN CONDITION CODE,GIVEN CONDITION DISPLAY,ACTUAL PREVALENCE PERCENT,SYNTHEA OCCURRENCES,SYNTHEA POPULATION,SYNTHEA PREVALENCE RATE,SYNTHEA PREVALENCE PERCENT,DIFFERENCE,REFERENCE
,,,,,,,,,,,,,,,
44054006,Diabetes,unique conditions,living,adult,*,*,,,8,,,,,,https://gis.cdc.gov/grasp/diabetes/DiabetesAtlas.html
44054006,Diabetes,unique conditions,living,adult,*,white,,,6.5,,,,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
44054006,Diabetes,unique conditions,living,adult,*,hispanic,,,14.2,,,,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
44054006,Diabetes,unique conditions,living,adult,*,black,,,12.8,,,,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
44054006,Diabetes,unique conditions,living,adult,*,asian,,,16,,,,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
44054006,Diabetes,unique conditions,living,adult,*,native,,,14.3,,,,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/diabetes/facts/diabetes-statistics.html
44054006,Diabetes,unique conditions,living,adult,F,*,,,9.2,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,F,white,,,6.8,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,F,hispanic,,,11.7,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,F,black,,,13.2,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,F,asian,,,7.3,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,F,native,,,15.3,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,*,,,9.4,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,white,,,8.1,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,hispanic,,,12.6,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,black,,,12.2,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,asian,,,9,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,adult,M,native,,,14.9,,,,,,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
44054006,Diabetes,unique conditions,living,child,*,*,,,0.24,,,,,,http://www.diabetes.org/diabetes-basics/statistics/?referrer=https://www.google.com/
44054006,Diabetes,unique conditions,living,child,*,white,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,*,hispanic,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,*,black,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,*,asian,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,*,native,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,*,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,white,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,hispanic,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,black,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,asian,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,F,native,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,*,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,white,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,hispanic,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,black,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,asian,,,,,,,,,
44054006,Diabetes,unique conditions,living,child,M,native,,,,,,,,,
