Surgery_cat_2,RandomID,n_surgeries,mean,median,std,min,max,raw_speed_cat,speed_cat
Aorta,Surgeon_1,5.0,418.0,421.0,103.14,260.0,548.0,"(298.43, 418.0]",2
CABG+valve,Surgeon_1,27.0,338.63,320.0,75.09,230.0,546.0,"(298.43, 418.0]",2
MICS,Surgeon_1,5.0,208.6,181.0,102.52,88.0,358.0,"(178.86, 298.43]",1
MultiV,Surgeon_1,5.0,258.8,261.0,41.38,213.0,311.0,"(178.86, 298.43]",1
OffPumpCABG,Surgeon_1,90.0,221.81,224.5,48.23,82.0,363.0,"(178.86, 298.43]",1
OnPumpCABG,Surgeon_1,102.0,233.86,228.5,56.09,0.0,474.0,"(178.86, 298.43]",1
Other,Surgeon_1,61.0,301.1,269.0,168.27,33.0,1060.0,"(298.43, 418.0]",2
SVRr,Surgeon_1,19.0,248.68,230.0,65.25,173.0,431.0,"(178.86, 298.43]",1
Aorta,Surgeon_6,20.0,187.95,168.0,84.56,74.0,322.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_6,10.0,287.9,284.5,73.36,203.0,452.0,"(178.86, 298.43]",1
MICS,Surgeon_6,8.0,125.38,108.0,54.43,66.0,227.0,"(58.931, 178.86]",3
MultiV,Surgeon_6,24.0,341.08,307.5,94.81,180.0,550.0,"(298.43, 418.0]",2
OnPumpCABG,Surgeon_6,58.0,233.28,236.5,45.5,136.0,365.0,"(178.86, 298.43]",1
Other,Surgeon_6,125.0,274.28,263.0,113.72,70.0,844.0,"(178.86, 298.43]",1
SVRr,Surgeon_6,46.0,205.24,182.5,67.78,123.0,395.0,"(178.86, 298.43]",1
VSTCV,Surgeon_6,123.0,73.59,70.0,27.52,1.0,298.0,"(58.931, 178.86]",3
CABG+MultiV,Surgeon_2,12.0,288.58,265.0,95.15,194.0,544.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_2,34.0,257.53,234.0,97.24,153.0,718.0,"(178.86, 298.43]",1
MICS,Surgeon_2,7.0,242.57,239.0,50.39,176.0,315.0,"(178.86, 298.43]",1
MultiV,Surgeon_2,62.0,205.29,200.0,48.86,98.0,323.0,"(178.86, 298.43]",1
OffPumpCABG,Surgeon_2,6.0,152.83,144.5,22.88,136.0,196.0,"(58.931, 178.86]",3
OnPumpCABG,Surgeon_2,58.0,204.28,202.0,34.56,141.0,294.0,"(178.86, 298.43]",1
Other,Surgeon_2,30.0,276.43,278.0,119.65,58.0,511.0,"(178.86, 298.43]",1
SVRr,Surgeon_2,182.0,152.49,149.0,89.77,32.0,924.0,"(58.931, 178.86]",3
VSTCV,Surgeon_2,4.0,98.5,98.5,26.08,68.0,129.0,"(58.931, 178.86]",3
CABG+MultiV,Surgeon_3,5.0,284.6,271.0,26.49,266.0,330.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_3,26.0,213.85,209.0,58.37,95.0,352.0,"(178.86, 298.43]",1
MICS,Surgeon_3,37.0,187.19,171.0,92.16,85.0,376.0,"(178.86, 298.43]",1
MultiV,Surgeon_3,8.0,266.63,259.0,113.63,145.0,507.0,"(178.86, 298.43]",1
OffPumpCABG,Surgeon_3,159.0,170.12,171.0,47.06,68.0,369.0,"(58.931, 178.86]",3
OnPumpCABG,Surgeon_3,12.0,238.42,236.5,63.15,135.0,366.0,"(178.86, 298.43]",1
Other,Surgeon_3,39.0,228.56,229.0,81.78,51.0,429.0,"(178.86, 298.43]",1
SVRr,Surgeon_3,26.0,195.0,195.5,62.59,93.0,422.0,"(178.86, 298.43]",1
VSTCV,Surgeon_3,7.0,59.29,60.0,8.73,46.0,70.0,"(58.931, 178.86]",3
CABG+MultiV,Surgeon_4,4.0,249.5,237.0,53.54,200.0,324.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_4,48.0,225.96,225.0,53.68,36.0,374.0,"(178.86, 298.43]",1
OnPumpCABG,Surgeon_4,185.0,193.02,192.0,32.49,118.0,383.0,"(178.86, 298.43]",1
Other,Surgeon_4,11.0,196.82,180.0,73.56,108.0,352.0,"(178.86, 298.43]",1
SVRr,Surgeon_4,44.0,162.95,155.0,44.08,65.0,352.0,"(58.931, 178.86]",3
VSTCV,Surgeon_4,91.0,66.85,61.0,19.98,39.0,154.0,"(58.931, 178.86]",3
CABG+MultiV,Surgeon_7,16.0,293.75,288.5,73.75,198.0,462.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_7,33.0,282.55,284.0,47.0,188.0,378.0,"(178.86, 298.43]",1
MultiV,Surgeon_7,30.0,221.4,213.5,55.8,150.0,452.0,"(178.86, 298.43]",1
OffPumpCABG,Surgeon_7,164.0,211.83,211.0,37.9,114.0,314.0,"(178.86, 298.43]",1
OnPumpCABG,Surgeon_7,21.0,260.95,259.0,41.38,127.0,331.0,"(178.86, 298.43]",1
Other,Surgeon_7,65.0,271.08,265.0,86.82,46.0,461.0,"(178.86, 298.43]",1
SVRr,Surgeon_7,36.0,213.81,205.0,34.17,146.0,311.0,"(178.86, 298.43]",1
CABG+valve,Surgeon_8,28.0,310.96,301.5,44.99,239.0,425.0,"(298.43, 418.0]",2
MICS,Surgeon_8,8.0,136.88,126.5,48.43,82.0,219.0,"(58.931, 178.86]",3
MultiV,Surgeon_8,4.0,332.75,320.0,87.61,248.0,443.0,"(298.43, 418.0]",2
OnPumpCABG,Surgeon_8,131.0,243.68,238.0,58.41,146.0,654.0,"(178.86, 298.43]",1
Other,Surgeon_8,18.0,355.78,330.0,127.8,183.0,726.0,"(298.43, 418.0]",2
SVRr,Surgeon_8,75.0,192.09,203.0,68.79,48.0,361.0,"(178.86, 298.43]",1
VSTCV,Surgeon_8,261.0,72.27,65.0,28.97,36.0,331.0,"(58.931, 178.86]",3
CABG+valve,Surgeon_9,34.0,293.59,271.0,79.81,188.0,603.0,"(178.86, 298.43]",1
MultiV,Surgeon_9,7.0,326.43,302.0,62.44,260.0,419.0,"(298.43, 418.0]",2
OffPumpCABG,Surgeon_9,12.0,190.58,206.5,38.11,127.0,238.0,"(178.86, 298.43]",1
OnPumpCABG,Surgeon_9,213.0,233.18,228.0,43.39,140.0,382.0,"(178.86, 298.43]",1
Other,Surgeon_9,59.0,327.95,312.0,147.9,54.0,768.0,"(298.43, 418.0]",2
SVRr,Surgeon_9,22.0,236.64,234.5,62.64,127.0,412.0,"(178.86, 298.43]",1
MultiV,Surgeon_5,6.0,234.33,232.0,40.79,185.0,299.0,"(178.86, 298.43]",1
OffPumpCABG,Surgeon_5,121.0,245.74,240.0,37.24,178.0,343.0,"(178.86, 298.43]",1
OnPumpCABG,Surgeon_5,21.0,274.67,266.0,58.47,173.0,430.0,"(178.86, 298.43]",1
Other,Surgeon_5,24.0,275.5,254.0,66.4,179.0,484.0,"(178.86, 298.43]",1
Other,Surgeon_10,10.0,322.1,338.0,133.36,125.0,508.0,"(298.43, 418.0]",2
SVRr,Surgeon_10,5.0,321.0,305.0,130.3,203.0,521.0,"(298.43, 418.0]",2
