BB2,CCW
AT_PHYSN_NPI,AT_PHYSN_NPI
AT_PHYSN_UPIN,AT_PHYSN_UPIN
BENE_ID,BENE_ID
CLAIM_QUERY_CODE,CLAIM_QUERY_CODE
CLM_ADMSN_DT,CLM_ADMSN_DT
CLM_FAC_TYPE_CD,CLM_FAC_TYPE_CD
CLM_FREQ_CD,CLM_FREQ_CD
CLM_FROM_DT,CLM_FROM_DT
CLM_GRP_ID,
CLM_HHA_LUPA_IND_CD,CLM_HHA_LUPA_IND_CD
CLM_HHA_RFRL_CD,CLM_HHA_RFRL_CD
CLM_HHA_TOT_VISIT_CNT,CLM_HHA_TOT_VISIT_CNT
CLM_ID,CLM_ID
CLM_LINE_NUM,CLM_LINE_NUM
CLM_MDCR_NON_PMT_RSN_CD,CLM_MDCR_NON_PMT_RSN_CD
CLM_PMT_AMT,CLM_PMT_AMT
CLM_PPS_IND_CD,CLM_PPS_IND_CD
CLM_SRVC_CLSFCTN_TYPE_CD,CLM_SRVC_CLSFCTN_TYPE_CD
CLM_THRU_DT,CLM_THRU_DT
CLM_TOT_CHRG_AMT,CLM_TOT_CHRG_AMT
DML_IND,
FINAL_ACTION,
FI_CLM_PROC_DT,FI_CLM_PROC_DT
FI_DOC_CLM_CNTL_NUM,
FI_NUM,FI_NUM
FI_ORIG_CLM_CNTL_NUM,
FST_DGNS_E_CD,FST_DGNS_E_CD
FST_DGNS_E_VRSN_CD,
HCPCS_1ST_MDFR_CD,HCPCS_1ST_MDFR_CD
HCPCS_2ND_MDFR_CD,HCPCS_2ND_MDFR_CD
HCPCS_CD,HCPCS_CD
ICD_DGNS_CD1,ICD_DGNS_CD1
ICD_DGNS_CD10,ICD_DGNS_CD10
ICD_DGNS_CD11,ICD_DGNS_CD11
ICD_DGNS_CD12,ICD_DGNS_CD12
ICD_DGNS_CD13,ICD_DGNS_CD13
ICD_DGNS_CD14,ICD_DGNS_CD14
ICD_DGNS_CD15,ICD_DGNS_CD15
ICD_DGNS_CD16,ICD_DGNS_CD16
ICD_DGNS_CD17,ICD_DGNS_CD17
ICD_DGNS_CD18,ICD_DGNS_CD18
ICD_DGNS_CD19,ICD_DGNS_CD19
ICD_DGNS_CD2,ICD_DGNS_CD2
ICD_DGNS_CD20,ICD_DGNS_CD20
ICD_DGNS_CD21,ICD_DGNS_CD21
ICD_DGNS_CD22,ICD_DGNS_CD22
ICD_DGNS_CD23,ICD_DGNS_CD23
ICD_DGNS_CD24,ICD_DGNS_CD24
ICD_DGNS_CD25,ICD_DGNS_CD25
ICD_DGNS_CD3,ICD_DGNS_CD3
ICD_DGNS_CD4,ICD_DGNS_CD4
ICD_DGNS_CD5,ICD_DGNS_CD5
ICD_DGNS_CD6,ICD_DGNS_CD6
ICD_DGNS_CD7,ICD_DGNS_CD7
ICD_DGNS_CD8,ICD_DGNS_CD8
ICD_DGNS_CD9,ICD_DGNS_CD9
