BB2,CCW
AGE,AGE_AT_END_REF_YR
A_MO_CNT,BENE_HI_CVRAGE_TOT_MONS
BENE_BIRTH_DT,BENE_BIRTH_DT
BENE_COUNTY_CD,COUNTY_CD
BENE_CRNT_HIC_NUM,
BENE_ENTLMT_RSN_CURR,ENTLMT_RSN_CURR
BENE_ENTLMT_RSN_ORIG,ENTLMT_RSN_ORIG
BENE_ESRD_IND,ESRD_IND
BENE_GVN_NAME,
BENE_ID,BENE_ID
BENE_LINK_KEY,
BENE_MDCR_STATUS_CD,
BENE_MDL_NAME,
BENE_PTA_TRMNTN_CD,BENE_PTA_TRMNTN_CD
BENE_PTB_TRMNTN_CD,BENE_PTB_TRMNTN_CD
BENE_RACE_CD,BENE_RACE_CD
BENE_SEX_IDENT_CD,SEX_IDENT_CD
BENE_SRNM_NAME,
BENE_ZIP_CD,ZIP_CD
BUYIN_MO_CNT,BENE_STATE_BUYIN_TOT_MONS
B_MO_CNT,BENE_SMI_CVRAGE_TOT_MONS
CITY_NAME,
COVSTART,COVSTART
CRNT_BIC,CRNT_BIC_CD
CST_SHR_GRP_APR_CD,CST_SHR_GRP_CD_04
CST_SHR_GRP_AUG_CD,CST_SHR_GRP_CD_08
CST_SHR_GRP_DEC_CD,CST_SHR_GRP_CD_12
CST_SHR_GRP_FEB_CD,CST_SHR_GRP_CD_02
CST_SHR_GRP_JAN_CD,CST_SHR_GRP_CD_01
CST_SHR_GRP_JUL_CD,CST_SHR_GRP_CD_07
CST_SHR_GRP_JUN_CD,CST_SHR_GRP_CD_06
CST_SHR_GRP_MAR_CD,CST_SHR_GRP_CD_03
CST_SHR_GRP_MAY_CD,CST_SHR_GRP_CD_05
CST_SHR_GRP_NOV_CD,CST_SHR_GRP_CD_11
CST_SHR_GRP_OCT_CD,CST_SHR_GRP_CD_10
CST_SHR_GRP_SEPT_CD,CST_SHR_GRP_CD_09
DEATH_DT,BENE_DEATH_DT
DML_IND,
DRVD_LINE_1_ADR,
DRVD_LINE_2_ADR,
DRVD_LINE_3_ADR,
DRVD_LINE_4_ADR,
DRVD_LINE_5_ADR,
DRVD_LINE_6_ADR,
DUAL_MO_CNT,DUAL_ELGBL_MONS
EFCTV_BGN_DT,
EFCTV_END_DT,
EFIVEPCT,ENHANCED_FIVE_PERCENT_FLAG
ENRL_SRC,ENRL_SRC
FIPS_STATE_CNTY_APR_CD,STATE_CNTY_FIPS_CD_04
FIPS_STATE_CNTY_AUG_CD,STATE_CNTY_FIPS_CD_08
FIPS_STATE_CNTY_DEC_CD,STATE_CNTY_FIPS_CD_12
FIPS_STATE_CNTY_FEB_CD,STATE_CNTY_FIPS_CD_02
FIPS_STATE_CNTY_JAN_CD,STATE_CNTY_FIPS_CD_01
FIPS_STATE_CNTY_JUL_CD,STATE_CNTY_FIPS_CD_07
