STATE,ENCOUNTER,ADJ_FACTOR
AK,HOME,1.0074
AL,HOME,0.9357
AR,HOME,0.8801
AZ,HOME,0.8875
CA,HOME,1.3086
CO,HOME,0.9377
CT,HOME,1.0486
DC,HOME,0.8604
DE,HOME,0.8331
FL,HOME,1.0312
GA,HOME,0.9162
HI,HOME,0.9217
IA,HOME,0.7483
ID,HOME,0.9385
IL,HOME,0.9943
IN,HOME,0.9255
KS,HOME,0.8819
KY,HOME,0.9169
LA,HOME,1.0689
MA,HOME,1.0283
MD,HOME,0.8505
ME,HOME,0.8443
MI,HOME,0.8488
MN,HOME,0.8851
MO,HOME,0.7534
MS,HOME,1.0315
MT,HOME,0.7168
NC,HOME,0.8361
ND,HOME,0.6960
NE,HOME,0.8706
NH,HOME,0.8385
NJ,HOME,0.8638
NM,HOME,0.9667
NV,HOME,1.3148
NY,HOME,0.8756
OH,HOME,0.9128
OK,HOME,1.2013
OR,HOME,0.9337
PA,HOME,0.8409
PR,HOME,0.5396
RI,HOME,0.9757
SC,HOME,0.8437
SD,HOME,0.6502
TN,HOME,1.0424
TX,HOME,1.3051
UT,HOME,0.9644
VA,HOME,0.8756
VI,HOME,0.7643
VT,HOME,0.8551
WA,HOME,1.0084
WI,HOME,0.7972
WV,HOME,0.9241
WY,HOME,0.8585
AK,HOSPICE,0.8392
AL,HOSPICE,1.1001
AR,HOSPICE,0.8682
AZ,HOSPICE,1.0525
CA,HOSPICE,1.3747
CO,HOSPICE,1.0550
CT,HOSPICE,0.9162
DC,HOSPICE,1.1332
DE,HOSPICE,1.0967
FL,HOSPICE,1.0336
GA,HOSPICE,1.0701
HI,HOSPICE,1.2011
IA,HOSPICE,0.7533
ID,HOSPICE,0.9768
IL,HOSPICE,0.8654
IN,HOSPICE,0.8953
KS,HOSPICE,0.8847
KY,HOSPICE,0.6973
LA,HOSPICE,1.0117
MA,HOSPICE,1.1003
MD,HOSPICE,0.8696
ME,HOSPICE,0.9275
MI,HOSPICE,0.9116
MN,HOSPICE,0.9325
MO,HOSPICE,0.9077
MS,HOSPICE,1.0583
MT,HOSPICE,0.7594
NC,HOSPICE,0.9327
ND,HOSPICE,0.6950
NE,HOSPICE,0.8279
NH,HOSPICE,0.9696
NJ,HOSPICE,0.9988
NM,HOSPICE,1.0535
NV,HOSPICE,1.0286
NY,HOSPICE,0.8598
OH,HOSPICE,0.9658
OK,HOSPICE,1.0520
OR,HOSPICE,0.9586
PA,HOSPICE,0.8470
PR,HOSPICE,0.7670
RI,HOSPICE,0.9798
SC,HOSPICE,1.0650
SD,HOSPICE,0.6291
TN,HOSPICE,0.8966
TX,HOSPICE,1.1162
UT,HOSPICE,1.1790
VA,HOSPICE,0.9557
VI,HOSPICE,1.0000
VT,HOSPICE,1.0699
WA,HOSPICE,0.9376
WI,HOSPICE,0.9908
