Id,NAME,ADDRESS,CITY,STATE,POSTCODE,LAT,LON,PHONE,UTILIZATION
a83dab77-0273-32cd-a600-7fcbe35de8ab,CONCORD MEDICAL CENTRE,CONCORD MEDICAL CENTRE,BRISTOL,SW,BS34 6BQ,51.529421,-2.5548758,01454 616767,103
721d1bb5-85fb-3a3f-8137-a0238eb48d5b,DOWNTON ROAD SURGERY,THE CREST FAMILY PRACTICE,BRISTOL,SW,BS4 1WH,51.428755,-2.5962602,0117 9449700,68
7de70634-01e1-3d70-ada5-d9c1cf5ad1d2,PRESTON ROAD SURGERY,102 PRESTON ROAD,WEYMOUTH,SW,DT3 6BB,50.64294,-2.4304318,,9
339de48a-5ce3-3c92-993b-a4d046998bb3,TAVYSIDE HEALTH CENTRE,ABBY RISE,EXETER,SW,PL19 9FD,50.5458,-4.1459048,01822 613517,35
c70024ea-705e-3d79-ada8-0b8fa075c9e4,MENDIP ADULTS TEAM,ENOS WAY,FROME,SW,BA11 2FH,51.237156,-2.3112808,,6
b7d8f0e1-f16d-3a3d-b0df-a9c3866ff6db,COTSWOLD CARE HOSPICE,BURLEIGH LANE,STROUD,SW,GL5 2PQ,51.711819,-2.1947493,,3
bdeb5bfc-e9bd-3559-97dc-317e4f4b0f26,CULVERHAY SURGERY,THE CULVERHAY SURGERY,GLOUCESTER,SW,GL12 7LS,51.638957,-2.3486778,01453 843893,33
33641218-3539-328d-b3d4-a54ad608edcd,CHELTENHAM LEISURE CENTRE,TOMMY TAYLORS LANE,CHELTENHAM,SW,GL50 4RN,51.910951,-2.0796177,,1
92e72726-5cc0-37af-8268-221df1e8ef58,BRADLEY STOKE SURGERY,BRADLEY STOKE SURGERY,EASTVILLE,SW,BS32 9DS,51.540212,-2.5604431,01454 616262,131
e864ebce-dadf-30a4-9d46-7e66e5a4d2dc,HIGHBRIDGE MEDICAL CENTRE,HIGHBRIDGE MEDICAL CENTRE,WILLITON, TAUNTON,SW,TA9 3YA,51.22734,-2.9792212,01278 783230,94
79739201-bed0-3158-8e2d-257c95a33253,FRIARY HOUSE SURGERY,FRIARY HOUSE SURGERY,PLYMOUTH,SW,PL4 9BH,50.372653,-4.1281936,01752 663138,60
7cad732d-4784-3ba5-a266-f7d9b2dba603,BLACK SWAN,BRIDGE STREET,FROME,SW,BA11 1BB,51.233079,-2.3194745,,6
60eaaf61-a578-3257-9d82-aef71ad8d102,THE MARINE & OAKRIDGE PARTNERSHIP,MARINE SURGERY,BOURNEMOUTH,SW,BH6 3DB,50.722847,-1.8065462,01202 425588,368
eab7fdb0-521a-321b-bf99-f9dc52edc2ad,PRIME ENDOSCOPY (BRISTOL),PRIME ENDOSCOPY (BRISTOL),BARNSTAPLE,SW,BS1 5SZ,51.449597,-2.6017267,0117 9103790,157
f2292bb3-47d3-381e-8bde-d59d1853985d,LYDNEY AMBULANCE STATION,CHURCH ROAD,LYDNEY,SW,GL15 5EA,51.722828,-2.5368432,,3
83dc856d-4316-3a56-aa87-eb2946382efc,GPSI DERMATOLOGY MPHC,MOUNT PLEASANT HEALTH CTR,YATE,SW,EX4 7BW,50.732834,-3.5159265,01392 255722,125
73067b37-c686-3373-8da6-0146e6689826,FROME RENAL DIALYSIS UNIT,FROME COMMUNITY HOSPITAL,FROME,SW,BA11 2FH,51.237156,-2.3112808,,13
a0b9e3d9-7a8c-3ca8-9d83-214dda16b201,WOODBURY SURGERY,THE SURGERY,EXETER,SW,EX5 1NZ,50.674009,-3.4001574,,3
