age,gender,state,Prescribe_Benazepril_Hydrochloride_10_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_20_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_40_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_5_Mg_Oral_Tablet
18-25,M,Connecticut,0.0,1.0,0.0,0.0
18-25,M,Maine,0.0,1.0,0.0,0.0
18-25,M,Massachusetts,0.0,1.0,0.0,0.0
18-25,M,New Hampshire,0.0,1.0,0.0,0.0
18-25,M,New Jersey,0.0,1.0,0.0,0.0
18-25,M,New York,0.0,1.0,0.0,0.0
18-25,M,Pennsylvania,0.0,1.0,0.0,0.0
18-25,M,Rhode Island,0.0,1.0,0.0,0.0
18-25,M,Vermont,0.0,1.0,0.0,0.0
26-35,M,Alabama,0.0,0.0,1.0,0.0
26-35,M,Arkansas,0.0,0.0,1.0,0.0
26-35,M,Delaware,0.0,0.0,1.0,0.0
26-35,M,District of Columbia,0.0,0.0,1.0,0.0
26-35,M,Florida,0.0,0.0,1.0,0.0
26-35,M,Georgia,0.0,0.0,1.0,0.0
26-35,M,Kentucky,0.0,0.0,1.0,0.0
26-35,M,Louisiana,0.0,0.0,1.0,0.0
26-35,M,Maryland,0.0,0.0,1.0,0.0
26-35,M,Mississippi,0.0,0.0,1.0,0.0
26-35,M,North Carolina,0.0,0.0,1.0,0.0
26-35,M,Oklahoma,0.0,0.0,1.0,0.0
26-35,M,South Carolina,0.0,0.0,1.0,0.0
26-35,M,Tennessee,0.0,0.0,1.0,0.0
26-35,M,Texas,0.0,0.0,1.0,0.0
26-35,M,Virginia,0.0,0.0,1.0,0.0
26-35,M,West Virginia,0.0,0.0,1.0,0.0
36-45,F,Alabama,0.0,0.065,0.0,0.935
36-45,F,Alaska,0.0,0.0,1.0,0.0
36-45,F,Arizona,0.0,0.0,1.0,0.0
36-45,F,Arkansas,0.0,0.065,0.0,0.935
36-45,F,California,0.0,0.0,1.0,0.0
36-45,F,Colorado,0.0,0.0,1.0,0.0
36-45,F,Delaware,0.0,0.065,0.0,0.935
36-45,F,District of Columbia,0.0,0.065,0.0,0.935
36-45,F,Florida,0.0,0.065,0.0,0.935
36-45,F,Georgia,0.0,0.065,0.0,0.935
36-45,F,Hawaii,0.0,0.0,1.0,0.0
36-45,F,Idaho,0.0,0.0,1.0,0.0
36-45,F,Kentucky,0.0,0.065,0.0,0.935
36-45,F,Louisiana,0.0,0.065,0.0,0.935
36-45,F,Maryland,0.0,0.065,0.0,0.935
36-45,F,Mississippi,0.0,0.065,0.0,0.935
36-45,F,Montana,0.0,0.0,1.0,0.0
36-45,F,Nevada,0.0,0.0,1.0,0.0
36-45,F,New Mexico,0.0,0.0,1.0,0.0
36-45,F,North Carolina,0.0,0.065,0.0,0.935
36-45,F,Oklahoma,0.0,0.065,0.0,0.935
36-45,F,Oregon,0.0,0.0,1.0,0.0
36-45,F,South Carolina,0.0,0.065,0.0,0.935
36-45,F,Tennessee,0.0,0.065,0.0,0.935
36-45,F,Texas,0.0,0.065,0.0,0.935
36-45,F,Utah,0.0,0.0,1.0,0.0
36-45,F,Virginia,0.0,0.065,0.0,0.935
36-45,F,Washington,0.0,0.0,1.0,0.0
