age,gender,state,Prescribe_Lovastatin_10_Mg_Oral_Tablet,Prescribe_Lovastatin_20_Mg_Oral_Tablet,Prescribe_Lovastatin_40_Mg_Oral_Tablet
26-35,F,Alabama,0.0,1.0,0.0
26-35,F,Arkansas,0.0,1.0,0.0
26-35,F,Delaware,0.0,1.0,0.0
26-35,F,District of Columbia,0.0,1.0,0.0
26-35,F,Florida,0.0,1.0,0.0
26-35,F,Georgia,0.0,1.0,0.0
26-35,F,Kentucky,0.0,1.0,0.0
26-35,F,Louisiana,0.0,1.0,0.0
26-35,F,Maryland,0.0,1.0,0.0
26-35,F,Mississippi,0.0,1.0,0.0
26-35,F,North Carolina,0.0,1.0,0.0
26-35,F,Oklahoma,0.0,1.0,0.0
26-35,F,South Carolina,0.0,1.0,0.0
26-35,F,Tennessee,0.0,1.0,0.0
26-35,F,Texas,0.0,1.0,0.0
26-35,F,Virginia,0.0,1.0,0.0
26-35,F,West Virginia,0.0,1.0,0.0
36-45,F,Alabama,0.059,0.656,0.285
36-45,F,Arkansas,0.059,0.656,0.285
36-45,F,Delaware,0.059,0.656,0.285
36-45,F,District of Columbia,0.059,0.656,0.285
36-45,F,Florida,0.059,0.656,0.285
36-45,F,Georgia,0.059,0.656,0.285
36-45,F,Kentucky,0.059,0.656,0.285
36-45,F,Louisiana,0.059,0.656,0.285
36-45,F,Maryland,0.059,0.656,0.285
36-45,F,Mississippi,0.059,0.656,0.285
36-45,F,North Carolina,0.059,0.656,0.285
36-45,F,Oklahoma,0.059,0.656,0.285
36-45,F,South Carolina,0.059,0.656,0.285
36-45,F,Tennessee,0.059,0.656,0.285
36-45,F,Texas,0.059,0.656,0.285
36-45,F,Virginia,0.059,0.656,0.285
36-45,F,West Virginia,0.059,0.656,0.285
36-45,M,Alabama,0.0,0.318,0.682
36-45,M,Arkansas,0.0,0.318,0.682
36-45,M,Delaware,0.0,0.318,0.682
36-45,M,District of Columbia,0.0,0.318,0.682
36-45,M,Florida,0.0,0.318,0.682
36-45,M,Georgia,0.0,0.318,0.682
36-45,M,Illinois,0.0,0.23,0.77
36-45,M,Indiana,0.0,0.23,0.77
36-45,M,Iowa,0.0,0.23,0.77
36-45,M,Kansas,0.0,0.23,0.77
36-45,M,Kentucky,0.0,0.318,0.682
36-45,M,Louisiana,0.0,0.318,0.682
36-45,M,Maryland,0.0,0.318,0.682
36-45,M,Michigan,0.0,0.23,0.77
36-45,M,Minnesota,0.0,0.23,0.77
36-45,M,Mississippi,0.0,0.318,0.682
36-45,M,Missouri,0.0,0.23,0.77
36-45,M,Nebraska,0.0,0.23,0.77
36-45,M,North Carolina,0.0,0.318,0.682
36-45,M,North Dakota,0.0,0.23,0.77
36-45,M,Ohio,0.0,0.23,0.77
36-45,M,Oklahoma,0.0,0.318,0.682
36-45,M,South Carolina,0.0,0.318,0.682
36-45,M,South Dakota,0.0,0.23,0.77
36-45,M,Tennessee,0.0,0.318,0.682
36-45,M,Texas,0.0,0.318,0.682
36-45,M,Virginia,0.0,0.318,0.682
36-45,M,West Virginia,0.0,0.318,0.682
36-45,M,Wisconsin,0.0,0.23,0.77
46-65,F,Alabama,0.278,0.384,0.338
46-65,F,Alaska,0.25,0.75,0.0
46-65,F,Arizona,0.25,0.75,0.0
46-65,F,Arkansas,0.278,0.384,0.338
46-65,F,California,0.25,0.75,0.0
46-65,F,Colorado,0.25,0.75,0.0
46-65,F,Connecticut,0.0,1.0,0.0
46-65,F,Delaware,0.278,0.384,0.338
46-65,F,District of Columbia,0.278,0.384,0.338
46-65,F,Florida,0.278,0.384,0.338
46-65,F,Georgia,0.278,0.384,0.338
46-65,F,Hawaii,0.25,0.75,0.0
46-65,F,Idaho,0.25,0.75,0.0
46-65,F,Illinois,0.062,0.761,0.177
46-65,F,Indiana,0.062,0.761,0.177
46-65,F,Iowa,0.062,0.761,0.177
46-65,F,Kansas,0.062,0.761,0.177
46-65,F,Kentucky,0.278,0.384,0.338
46-65,F,Louisiana,0.278,0.384,0.338
46-65,F,Maine,0.0,1.0,0.0
46-65,F,Maryland,0.278,0.384,0.338
46-65,F,Massachusetts,0.0,1.0,0.0
46-65,F,Michigan,0.062,0.761,0.177
46-65,F,Minnesota,0.062,0.761,0.177
46-65,F,Mississippi,0.278,0.384,0.338
46-65,F,Missouri,0.062,0.761,0.177
46-65,F,Montana,0.25,0.75,0.0
46-65,F,Nebraska,0.062,0.761,0.177
46-65,F,Nevada,0.25,0.75,0.0
46-65,F,New Hampshire,0.0,1.0,0.0
46-65,F,New Jersey,0.0,1.0,0.0
46-65,F,New Mexico,0.25,0.75,0.0
46-65,F,New York,0.0,1.0,0.0
46-65,F,North Carolina,0.278,0.384,0.338
46-65,F,North Dakota,0.062,0.761,0.177
46-65,F,Ohio,0.062,0.761,0.177
46-65,F,Oklahoma,0.278,0.384,0.338
46-65,F,Oregon,0.25,0.75,0.0
46-65,F,Pennsylvania,0.0,1.0,0.0
46-65,F,Rhode Island,0.0,1.0,0.0
46-65,F,South Carolina,0.278,0.384,0.338
46-65,F,South Dakota,0.062,0.761,0.177
46-65,F,Tennessee,0.278,0.384,0.338
46-65,F,Texas,0.278,0.384,0.338
46-65,F,Utah,0.25,0.75,0.0
46-65,F,Vermont,0.0,1.0,0.0
46-65,F,Virginia,0.278,0.384,0.338
46-65,F,Washington,0.25,0.75,0.0
46-65,F,West Virginia,0.278,0.384,0.338
46-65,F,Wisconsin,0.062,0.761,0.177
46-65,F,Wyoming,0.25,0.75,0.0
46-65,M,Alabama,0.037,0.782,0.181
46-65,M,Alaska,0.0,0.633,0.367
46-65,M,Arizona,0.0,0.633,0.367
46-65,M,Arkansas,0.037,0.782,0.181
46-65,M,California,0.0,0.633,0.367
46-65,M,Colorado,0.0,0.633,0.367
46-65,M,Connecticut,0.413,0.587,0.0
46-65,M,Delaware,0.037,0.782,0.181
46-65,M,District of Columbia,0.037,0.782,0.181
46-65,M,Florida,0.037,0.782,0.181
46-65,M,Georgia,0.037,0.782,0.181
46-65,M,Hawaii,0.0,0.633,0.367
46-65,M,Idaho,0.0,0.633,0.367
46-65,M,Illinois,0.056,0.559,0.385
46-65,M,Indiana,0.056,0.559,0.385
46-65,M,Iowa,0.056,0.559,0.385
46-65,M,Kansas,0.056,0.559,0.385
46-65,M,Kentucky,0.037,0.782,0.181
46-65,M,Louisiana,0.037,0.782,0.181
46-65,M,Maine,0.413,0.587,0.0
46-65,M,Maryland,0.037,0.782,0.181
46-65,M,Massachusetts,0.413,0.587,0.0
46-65,M,Michigan,0.056,0.559,0.385
46-65,M,Minnesota,0.056,0.559,0.385
46-65,M,Mississippi,0.037,0.782,0.181
46-65,M,Missouri,0.056,0.559,0.385
46-65,M,Montana,0.0,0.633,0.367
46-65,M,Nebraska,0.056,0.559,0.385
46-65,M,Nevada,0.0,0.633,0.367
46-65,M,New Hampshire,0.413,0.587,0.0
46-65,M,New Jersey,0.413,0.587,0.0
46-65,M,New Mexico,0.0,0.633,0.367
46-65,M,New York,0.413,0.587,0.0
46-65,M,North Carolina,0.037,0.782,0.181
46-65,M,North Dakota,0.056,0.559,0.385
46-65,M,Ohio,0.056,0.559,0.385
46-65,M,Oklahoma,0.037,0.782,0.181
46-65,M,Oregon,0.0,0.633,0.367
46-65,M,Pennsylvania,0.413,0.587,0.0
46-65,M,Rhode Island,0.413,0.587,0.0
46-65,M,South Carolina,0.037,0.782,0.181
46-65,M,South Dakota,0.056,0.559,0.385
46-65,M,Tennessee,0.037,0.782,0.181
46-65,M,Texas,0.037,0.782,0.181
46-65,M,Utah,0.0,0.633,0.367
46-65,M,Vermont,0.413,0.587,0.0
46-65,M,Virginia,0.037,0.782,0.181
46-65,M,Washington,0.0,0.633,0.367
46-65,M,West Virginia,0.037,0.782,0.181
46-65,M,Wisconsin,0.056,0.559,0.385
46-65,M,Wyoming,0.0,0.633,0.367
65-103,F,Alabama,0.13,0.426,0.444
65-103,F,Alaska,0.058,0.521,0.421
65-103,F,Arizona,0.058,0.521,0.421
65-103,F,Arkansas,0.13,0.426,0.444
65-103,F,California,0.058,0.521,0.421
65-103,F,Colorado,0.058,0.521,0.421
65-103,F,Connecticut,0.076,0.27,0.655
65-103,F,Delaware,0.13,0.426,0.444
65-103,F,District of Columbia,0.13,0.426,0.444
65-103,F,Florida,0.13,0.426,0.444
65-103,F,Georgia,0.13,0.426,0.444
65-103,F,Hawaii,0.058,0.521,0.421
65-103,F,Idaho,0.058,0.521,0.421
65-103,F,Illinois,0.059,0.35,0.591
65-103,F,Indiana,0.059,0.35,0.591
65-103,F,Iowa,0.059,0.35,0.591
65-103,F,Kansas,0.059,0.35,0.591
65-103,F,Kentucky,0.13,0.426,0.444
65-103,F,Louisiana,0.13,0.426,0.444
65-103,F,Maine,0.076,0.27,0.655
65-103,F,Maryland,0.13,0.426,0.444
65-103,F,Massachusetts,0.076,0.27,0.655
65-103,F,Michigan,0.059,0.35,0.591
65-103,F,Minnesota,0.059,0.35,0.591
65-103,F,Mississippi,0.13,0.426,0.444
65-103,F,Missouri,0.059,0.35,0.591
65-103,F,Montana,0.058,0.521,0.421
65-103,F,Nebraska,0.059,0.35,0.591
65-103,F,Nevada,0.058,0.521,0.421
65-103,F,New Hampshire,0.076,0.27,0.655
65-103,F,New Jersey,0.076,0.27,0.655
65-103,F,New Mexico,0.058,0.521,0.421
65-103,F,New York,0.076,0.27,0.655
65-103,F,North Carolina,0.13,0.426,0.444
65-103,F,North Dakota,0.059,0.35,0.591
65-103,F,Ohio,0.059,0.35,0.591
65-103,F,Oklahoma,0.13,0.426,0.444
65-103,F,Oregon,0.058,0.521,0.421
65-103,F,Pennsylvania,0.076,0.27,0.655
65-103,F,Rhode Island,0.076,0.27,0.655
65-103,F,South Carolina,0.13,0.426,0.444
65-103,F,South Dakota,0.059,0.35,0.591
65-103,F,Tennessee,0.13,0.426,0.444
65-103,F,Texas,0.13,0.426,0.444
65-103,F,Utah,0.058,0.521,0.421
65-103,F,Vermont,0.076,0.27,0.655
65-103,F,Virginia,0.13,0.426,0.444
65-103,F,Washington,0.058,0.521,0.421
65-103,F,West Virginia,0.13,0.426,0.444
65-103,F,Wisconsin,0.059,0.35,0.591
65-103,F,Wyoming,0.058,0.521,0.421
65-103,M,Alabama,0.069,0.367,0.564
65-103,M,Alaska,0.0,0.324,0.676
65-103,M,Arizona,0.0,0.324,0.676
65-103,M,Arkansas,0.069,0.367,0.564
65-103,M,California,0.0,0.324,0.676
65-103,M,Colorado,0.0,0.324,0.676
65-103,M,Connecticut,0.255,0.173,0.572
65-103,M,Delaware,0.069,0.367,0.564
65-103,M,District of Columbia,0.069,0.367,0.564
65-103,M,Florida,0.069,0.367,0.564
65-103,M,Georgia,0.069,0.367,0.564
65-103,M,Hawaii,0.0,0.324,0.676
65-103,M,Idaho,0.0,0.324,0.676
65-103,M,Illinois,0.0,0.362,0.638
65-103,M,Indiana,0.0,0.362,0.638
65-103,M,Iowa,0.0,0.362,0.638
65-103,M,Kansas,0.0,0.362,0.638
65-103,M,Kentucky,0.069,0.367,0.564
65-103,M,Louisiana,0.069,0.367,0.564
65-103,M,Maine,0.255,0.173,0.572
65-103,M,Maryland,0.069,0.367,0.564
65-103,M,Massachusetts,0.255,0.173,0.572
65-103,M,Michigan,0.0,0.362,0.638
65-103,M,Minnesota,0.0,0.362,0.638
65-103,M,Mississippi,0.069,0.367,0.564
65-103,M,Missouri,0.0,0.362,0.638
65-103,M,Montana,0.0,0.324,0.676
65-103,M,Nebraska,0.0,0.362,0.638
65-103,M,Nevada,0.0,0.324,0.676
65-103,M,New Hampshire,0.255,0.173,0.572
65-103,M,New Jersey,0.255,0.173,0.572
65-103,M,New Mexico,0.0,0.324,0.676
65-103,M,New York,0.255,0.173,0.572
65-103,M,North Carolina,0.069,0.367,0.564
65-103,M,North Dakota,0.0,0.362,0.638
65-103,M,Ohio,0.0,0.362,0.638
65-103,M,Oklahoma,0.069,0.367,0.564
65-103,M,Oregon,0.0,0.324,0.676
65-103,M,Pennsylvania,0.255,0.173,0.572
65-103,M,Rhode Island,0.255,0.173,0.572
65-103,M,South Carolina,0.069,0.367,0.564
65-103,M,South Dakota,0.0,0.362,0.638
65-103,M,Tennessee,0.069,0.367,0.564
65-103,M,Texas,0.069,0.367,0.564
65-103,M,Utah,0.0,0.324,0.676
65-103,M,Vermont,0.255,0.173,0.572
65-103,M,Virginia,0.069,0.367,0.564
65-103,M,Washington,0.0,0.324,0.676
65-103,M,West Virginia,0.069,0.367,0.564
65-103,M,Wisconsin,0.0,0.362,0.638
65-103,M,Wyoming,0.0,0.324,0.676
