time,Death_within_six_months,Living_with_Diagnosis_Six_Months
283996800922-315532800921,0.25,0.75
315532800922-347155200921,0.25,0.75
347155200922-378691200921,0.22,0.78
378691200922-410227200921,0.22,0.78
410227200922-441763200921,0.22,0.78
441763200922-473385600921,0.22,0.78
473385600922-504921600921,0.22,0.78
504921600922-536457600921,0.2,0.8
536457600922-567993600921,0.19,0.81
567993600922-599616000921,0.179,0.821
599616000922-631152000921,0.183,0.817
631152000922-662688000921,0.162,0.838
662688000922-694224000921,0.158,0.842
