age,gender,state,Prescribe_24_Hr_Carvedilol_Phosphate_10_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule_Coreg,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_25_Mg_Oral_Tablet,Prescribe_Carvedilol_25_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_3_125_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet_Coreg
0-3,M,Alabama,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Arkansas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Delaware,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,District of Columbia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Florida,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Georgia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Kentucky,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Louisiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Maryland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Mississippi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,North Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Oklahoma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,South Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Tennessee,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Texas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,West Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Alaska,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Arizona,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Arkansas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,California,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Colorado,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Delaware,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,District of Columbia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Florida,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Georgia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Hawaii,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Idaho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Kentucky,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Louisiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Maryland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Mississippi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Montana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Nevada,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,New Mexico,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,North Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Oklahoma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Oregon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,South Carolina,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Tennessee,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Texas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Utah,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Washington,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,West Virginia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Wyoming,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Alaska,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Arizona,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,California,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Colorado,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Hawaii,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Idaho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Illinois,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
