age,gender,state,Prescribe_Atenolol,Prescribe_Bisoprolol,Prescribe_Bisoprolol_Hydrochlorothiazide,Prescribe_Carvedilol,Prescribe_Labetalol,Prescribe_Metoprolol,Prescribe_Nebivolol,Prescribe_Propranolol
0-3,M,Alabama,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Arkansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Delaware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,District of Columbia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Florida,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Georgia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Kentucky,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Louisiana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Maryland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Mississippi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,North Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Oklahoma,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,South Carolina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Tennessee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Texas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,Virginia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0-3,M,West Virginia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-17,F,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,F,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-17,M,Alabama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Arkansas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Delaware,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,District of Columbia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Florida,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Georgia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Illinois,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Indiana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Iowa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Kansas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Kentucky,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Louisiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Maryland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Michigan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Minnesota,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Mississippi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Missouri,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Nebraska,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,North Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,North Dakota,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
