age,gender,state,Prescribe_Amlodipine_10_Mg_Benazepril_Hydrochloride_20_Mg_Oral_Capsule,Prescribe_Amlodipine_10_Mg_Benazepril_Hydrochloride_40_Mg_Oral_Capsule,Prescribe_Amlodipine_2_5_Mg_Benazepril_Hydrochloride_10_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_10_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_20_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_40_Mg_Oral_Capsule
26-35,M,Alabama,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Alaska,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Arizona,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Arkansas,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,California,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Colorado,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Delaware,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,District of Columbia,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Florida,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Georgia,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Hawaii,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Idaho,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Kentucky,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Louisiana,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Maryland,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Mississippi,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Montana,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Nevada,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,New Mexico,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,North Carolina,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Oklahoma,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Oregon,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,South Carolina,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Tennessee,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Texas,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Utah,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Virginia,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Washington,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,West Virginia,0.0,0.0,0.0,1.0,0.0,0.0
26-35,M,Wyoming,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Connecticut,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,Maine,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,Massachusetts,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,New Hampshire,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,New Jersey,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,New York,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,Pennsylvania,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,Rhode Island,0.0,0.0,1.0,0.0,0.0,0.0
36-45,M,Vermont,0.0,0.0,1.0,0.0,0.0,0.0
46-65,F,Alabama,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Alaska,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Arizona,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Arkansas,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,California,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Colorado,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Connecticut,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Delaware,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,District of Columbia,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Florida,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Georgia,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Hawaii,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Idaho,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Illinois,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Indiana,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Iowa,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Kansas,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Kentucky,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Louisiana,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Maine,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Maryland,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Massachusetts,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Michigan,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Minnesota,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Mississippi,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Missouri,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Montana,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Nebraska,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Nevada,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,New Hampshire,0.0,0.0,0.0,0.0,1.0,0.0
