age,gender,state,Prescribe_Labetalol_Hydrochloride_100_Mg_Oral_Tablet,Prescribe_Labetalol_Hydrochloride_200_Mg_Oral_Tablet,Prescribe_Labetalol_Hydrochloride_300_Mg_Oral_Tablet
26-35,F,Alabama,0.534,0.466,0.0
26-35,F,Alaska,0.0,0.0,1.0
26-35,F,Arizona,0.0,0.0,1.0
26-35,F,Arkansas,0.534,0.466,0.0
26-35,F,California,0.0,0.0,1.0
26-35,F,Colorado,0.0,0.0,1.0
26-35,F,Connecticut,1.0,0.0,0.0
26-35,F,Delaware,0.534,0.466,0.0
26-35,F,District of Columbia,0.534,0.466,0.0
26-35,F,Florida,0.534,0.466,0.0
26-35,F,Georgia,0.534,0.466,0.0
26-35,F,Hawaii,0.0,0.0,1.0
26-35,F,Idaho,0.0,0.0,1.0
26-35,F,Illinois,0.538,0.462,0.0
26-35,F,Indiana,0.538,0.462,0.0
26-35,F,Iowa,0.538,0.462,0.0
26-35,F,Kansas,0.538,0.462,0.0
26-35,F,Kentucky,0.534,0.466,0.0
26-35,F,Louisiana,0.534,0.466,0.0
26-35,F,Maine,1.0,0.0,0.0
26-35,F,Maryland,0.534,0.466,0.0
26-35,F,Massachusetts,1.0,0.0,0.0
26-35,F,Michigan,0.538,0.462,0.0
26-35,F,Minnesota,0.538,0.462,0.0
26-35,F,Mississippi,0.534,0.466,0.0
26-35,F,Missouri,0.538,0.462,0.0
26-35,F,Montana,0.0,0.0,1.0
26-35,F,Nebraska,0.538,0.462,0.0
26-35,F,Nevada,0.0,0.0,1.0
26-35,F,New Hampshire,1.0,0.0,0.0
26-35,F,New Jersey,1.0,0.0,0.0
26-35,F,New Mexico,0.0,0.0,1.0
26-35,F,New York,1.0,0.0,0.0
26-35,F,North Carolina,0.534,0.466,0.0
26-35,F,North Dakota,0.538,0.462,0.0
26-35,F,Ohio,0.538,0.462,0.0
26-35,F,Oklahoma,0.534,0.466,0.0
26-35,F,Oregon,0.0,0.0,1.0
26-35,F,Pennsylvania,1.0,0.0,0.0
26-35,F,Rhode Island,1.0,0.0,0.0
26-35,F,South Carolina,0.534,0.466,0.0
26-35,F,South Dakota,0.538,0.462,0.0
26-35,F,Tennessee,0.534,0.466,0.0
26-35,F,Texas,0.534,0.466,0.0
26-35,F,Utah,0.0,0.0,1.0
26-35,F,Vermont,1.0,0.0,0.0
26-35,F,Virginia,0.534,0.466,0.0
26-35,F,Washington,0.0,0.0,1.0
26-35,F,West Virginia,0.534,0.466,0.0
26-35,F,Wisconsin,0.538,0.462,0.0
26-35,F,Wyoming,0.0,0.0,1.0
26-35,M,Alabama,1.0,0.0,0.0
26-35,M,Arkansas,1.0,0.0,0.0
26-35,M,Delaware,1.0,0.0,0.0
26-35,M,District of Columbia,1.0,0.0,0.0
26-35,M,Florida,1.0,0.0,0.0
26-35,M,Georgia,1.0,0.0,0.0
26-35,M,Kentucky,1.0,0.0,0.0
26-35,M,Louisiana,1.0,0.0,0.0
26-35,M,Maryland,1.0,0.0,0.0
26-35,M,Mississippi,1.0,0.0,0.0
26-35,M,North Carolina,1.0,0.0,0.0
26-35,M,Oklahoma,1.0,0.0,0.0
26-35,M,South Carolina,1.0,0.0,0.0
26-35,M,Tennessee,1.0,0.0,0.0
26-35,M,Texas,1.0,0.0,0.0
26-35,M,Virginia,1.0,0.0,0.0
26-35,M,West Virginia,1.0,0.0,0.0
36-45,F,Alabama,0.582,0.299,0.119
36-45,F,Arkansas,0.582,0.299,0.119
36-45,F,Connecticut,0.0,1.0,0.0
36-45,F,Delaware,0.582,0.299,0.119
36-45,F,District of Columbia,0.582,0.299,0.119
36-45,F,Florida,0.582,0.299,0.119
36-45,F,Georgia,0.582,0.299,0.119
36-45,F,Illinois,0.84,0.08,0.08
36-45,F,Indiana,0.84,0.08,0.08
36-45,F,Iowa,0.84,0.08,0.08
36-45,F,Kansas,0.84,0.08,0.08
36-45,F,Kentucky,0.582,0.299,0.119
36-45,F,Louisiana,0.582,0.299,0.119
36-45,F,Maine,0.0,1.0,0.0
36-45,F,Maryland,0.582,0.299,0.119
36-45,F,Massachusetts,0.0,1.0,0.0
36-45,F,Michigan,0.84,0.08,0.08
36-45,F,Minnesota,0.84,0.08,0.08
36-45,F,Mississippi,0.582,0.299,0.119
36-45,F,Missouri,0.84,0.08,0.08
36-45,F,Nebraska,0.84,0.08,0.08
36-45,F,New Hampshire,0.0,1.0,0.0
36-45,F,New Jersey,0.0,1.0,0.0
36-45,F,New York,0.0,1.0,0.0
36-45,F,North Carolina,0.582,0.299,0.119
36-45,F,North Dakota,0.84,0.08,0.08
36-45,F,Ohio,0.84,0.08,0.08
36-45,F,Oklahoma,0.582,0.299,0.119
36-45,F,Pennsylvania,0.0,1.0,0.0
36-45,F,Rhode Island,0.0,1.0,0.0
36-45,F,South Carolina,0.582,0.299,0.119
36-45,F,South Dakota,0.84,0.08,0.08
36-45,F,Tennessee,0.582,0.299,0.119
36-45,F,Texas,0.582,0.299,0.119
36-45,F,Vermont,0.0,1.0,0.0
36-45,F,Virginia,0.582,0.299,0.119
36-45,F,West Virginia,0.582,0.299,0.119
36-45,F,Wisconsin,0.84,0.08,0.08
36-45,M,Alabama,0.0,1.0,0.0
36-45,M,Alaska,0.0,0.0,0.0
36-45,M,Arizona,0.0,0.0,0.0
36-45,M,Arkansas,0.0,1.0,0.0
36-45,M,California,0.0,0.0,0.0
36-45,M,Colorado,0.0,0.0,0.0
36-45,M,Delaware,0.0,1.0,0.0
36-45,M,District of Columbia,0.0,1.0,0.0
36-45,M,Florida,0.0,1.0,0.0
36-45,M,Georgia,0.0,1.0,0.0
36-45,M,Hawaii,0.0,0.0,0.0
36-45,M,Idaho,0.0,0.0,0.0
36-45,M,Kentucky,0.0,1.0,0.0
36-45,M,Louisiana,0.0,1.0,0.0
36-45,M,Maryland,0.0,1.0,0.0
36-45,M,Mississippi,0.0,1.0,0.0
36-45,M,Montana,0.0,0.0,0.0
36-45,M,Nevada,0.0,0.0,0.0
36-45,M,New Mexico,0.0,0.0,0.0
36-45,M,North Carolina,0.0,1.0,0.0
36-45,M,Oklahoma,0.0,1.0,0.0
36-45,M,Oregon,0.0,0.0,0.0
36-45,M,South Carolina,0.0,1.0,0.0
36-45,M,Tennessee,0.0,1.0,0.0
36-45,M,Texas,0.0,1.0,0.0
36-45,M,Utah,0.0,0.0,0.0
36-45,M,Virginia,0.0,1.0,0.0
36-45,M,Washington,0.0,0.0,0.0
36-45,M,West Virginia,0.0,1.0,0.0
36-45,M,Wyoming,0.0,0.0,0.0
46-65,F,Alabama,0.607,0.0,0.393
46-65,F,Arkansas,0.607,0.0,0.393
46-65,F,Connecticut,0.0,0.605,0.395
46-65,F,Delaware,0.607,0.0,0.393
46-65,F,District of Columbia,0.607,0.0,0.393
46-65,F,Florida,0.607,0.0,0.393
46-65,F,Georgia,0.607,0.0,0.393
46-65,F,Illinois,0.0,1.0,0.0
46-65,F,Indiana,0.0,1.0,0.0
46-65,F,Iowa,0.0,1.0,0.0
46-65,F,Kansas,0.0,1.0,0.0
46-65,F,Kentucky,0.607,0.0,0.393
46-65,F,Louisiana,0.607,0.0,0.393
46-65,F,Maine,0.0,0.605,0.395
46-65,F,Maryland,0.607,0.0,0.393
46-65,F,Massachusetts,0.0,0.605,0.395
46-65,F,Michigan,0.0,1.0,0.0
46-65,F,Minnesota,0.0,1.0,0.0
46-65,F,Mississippi,0.607,0.0,0.393
46-65,F,Missouri,0.0,1.0,0.0
46-65,F,Nebraska,0.0,1.0,0.0
46-65,F,New Hampshire,0.0,0.605,0.395
