state,percent_contract_lyme_yearly
Alaska,7.04E-05
Alabama,1.05E-05
Arizona,1.71E-05
Arkansas,1.71E-05
California,2.68E-05
Colorado,9.94E-06
Connecticut,1.40E-05
Delaware,5.57E-05
Florida,2.66E-06
Georgia,5.16E-06
Hawaii,3.68E-05
Idaho,3.19E-05
Illinois,3.90E-06
Indiana,7.71E-06
Iowa,1.64E-05
Kansas,1.75E-05
Kentucky,1.15E-05
Louisiana,1.10E-05
Maine,3.76E-05
Maryland,8.66E-06
Massachusetts,0.001069089
Michigan,0.000101177
Minnesota,9.43E-06
Mississippi,1.69E-05
Missouri,0.001669748
Montana,5.05E-05
Nebraska,2.74E-05
Nevada,1.85E-05
New Hampshire,3.80E-05
New Jersey,5.69E-06
New Mexico,2.43E-05
New York,2.58E-06
North Carolina,5.24E-06
North Dakota,7.43E-05
Ohio,4.33E-06
Oklahoma,1.33E-05
Oregon,1.31E-05
Pennsylvania,0.001180881
Rhode Island,4.75E-05
South Carolina,0.00001081
South Dakota,6.14E-05
Tennessee,7.88E-06
Texas,1.99E-06
Utah,1.81E-05
Vermont,7.99E-05
Virginia,6.25E-06
Washington,7.44E-06
West Virginia,2.70E-05
Wisconsin,0.00105504
Wyoming,8.87E-05
