age,gender,state,Prescribe_Pravastatin_Sodium_10_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_20_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_40_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_40_Mg_Oral_Tablet_Pravachol,Prescribe_Pravastatin_Sodium_80_Mg_Oral_Tablet
26-35,F,Alabama,0.0,1.0,0.0,0.0,0.0
26-35,F,Arkansas,0.0,1.0,0.0,0.0,0.0
26-35,F,Delaware,0.0,1.0,0.0,0.0,0.0
26-35,F,District of Columbia,0.0,1.0,0.0,0.0,0.0
26-35,F,Florida,0.0,1.0,0.0,0.0,0.0
26-35,F,Georgia,0.0,1.0,0.0,0.0,0.0
26-35,F,Kentucky,0.0,1.0,0.0,0.0,0.0
26-35,F,Louisiana,0.0,1.0,0.0,0.0,0.0
26-35,F,Maryland,0.0,1.0,0.0,0.0,0.0
26-35,F,Mississippi,0.0,1.0,0.0,0.0,0.0
26-35,F,North Carolina,0.0,1.0,0.0,0.0,0.0
26-35,F,Oklahoma,0.0,1.0,0.0,0.0,0.0
26-35,F,South Carolina,0.0,1.0,0.0,0.0,0.0
26-35,F,Tennessee,0.0,1.0,0.0,0.0,0.0
26-35,F,Texas,0.0,1.0,0.0,0.0,0.0
26-35,F,Virginia,0.0,1.0,0.0,0.0,0.0
26-35,F,West Virginia,0.0,1.0,0.0,0.0,0.0
26-35,M,Alabama,0.0,1.0,0.0,0.0,0.0
26-35,M,Arkansas,0.0,1.0,0.0,0.0,0.0
26-35,M,Delaware,0.0,1.0,0.0,0.0,0.0
26-35,M,District of Columbia,0.0,1.0,0.0,0.0,0.0
26-35,M,Florida,0.0,1.0,0.0,0.0,0.0
26-35,M,Georgia,0.0,1.0,0.0,0.0,0.0
26-35,M,Kentucky,0.0,1.0,0.0,0.0,0.0
26-35,M,Louisiana,0.0,1.0,0.0,0.0,0.0
26-35,M,Maryland,0.0,1.0,0.0,0.0,0.0
26-35,M,Mississippi,0.0,1.0,0.0,0.0,0.0
26-35,M,North Carolina,0.0,1.0,0.0,0.0,0.0
26-35,M,Oklahoma,0.0,1.0,0.0,0.0,0.0
26-35,M,South Carolina,0.0,1.0,0.0,0.0,0.0
26-35,M,Tennessee,0.0,1.0,0.0,0.0,0.0
26-35,M,Texas,0.0,1.0,0.0,0.0,0.0
26-35,M,Virginia,0.0,1.0,0.0,0.0,0.0
26-35,M,West Virginia,0.0,1.0,0.0,0.0,0.0
36-45,F,Alabama,0.0,0.851,0.0,0.0,0.149
36-45,F,Alaska,0.0,0.326,0.674,0.0,0.0
36-45,F,Arizona,0.0,0.326,0.674,0.0,0.0
36-45,F,Arkansas,0.0,0.851,0.0,0.0,0.149
36-45,F,California,0.0,0.326,0.674,0.0,0.0
36-45,F,Colorado,0.0,0.326,0.674,0.0,0.0
36-45,F,Connecticut,0.0,1.0,0.0,0.0,0.0
36-45,F,Delaware,0.0,0.851,0.0,0.0,0.149
36-45,F,District of Columbia,0.0,0.851,0.0,0.0,0.149
36-45,F,Florida,0.0,0.851,0.0,0.0,0.149
36-45,F,Georgia,0.0,0.851,0.0,0.0,0.149
36-45,F,Hawaii,0.0,0.326,0.674,0.0,0.0
36-45,F,Idaho,0.0,0.326,0.674,0.0,0.0
36-45,F,Illinois,0.0,0.0,0.357,0.0,0.643
36-45,F,Indiana,0.0,0.0,0.357,0.0,0.643
36-45,F,Iowa,0.0,0.0,0.357,0.0,0.643
36-45,F,Kansas,0.0,0.0,0.357,0.0,0.643
36-45,F,Kentucky,0.0,0.851,0.0,0.0,0.149
36-45,F,Louisiana,0.0,0.851,0.0,0.0,0.149
36-45,F,Maine,0.0,1.0,0.0,0.0,0.0
36-45,F,Maryland,0.0,0.851,0.0,0.0,0.149
36-45,F,Massachusetts,0.0,1.0,0.0,0.0,0.0
36-45,F,Michigan,0.0,0.0,0.357,0.0,0.643
36-45,F,Minnesota,0.0,0.0,0.357,0.0,0.643
36-45,F,Mississippi,0.0,0.851,0.0,0.0,0.149
36-45,F,Missouri,0.0,0.0,0.357,0.0,0.643
36-45,F,Montana,0.0,0.326,0.674,0.0,0.0
36-45,F,Nebraska,0.0,0.0,0.357,0.0,0.643
36-45,F,Nevada,0.0,0.326,0.674,0.0,0.0
36-45,F,New Hampshire,0.0,1.0,0.0,0.0,0.0
36-45,F,New Jersey,0.0,1.0,0.0,0.0,0.0
36-45,F,New Mexico,0.0,0.326,0.674,0.0,0.0
36-45,F,New York,0.0,1.0,0.0,0.0,0.0
36-45,F,North Carolina,0.0,0.851,0.0,0.0,0.149
36-45,F,North Dakota,0.0,0.0,0.357,0.0,0.643
36-45,F,Ohio,0.0,0.0,0.357,0.0,0.643
36-45,F,Oklahoma,0.0,0.851,0.0,0.0,0.149
36-45,F,Oregon,0.0,0.326,0.674,0.0,0.0
36-45,F,Pennsylvania,0.0,1.0,0.0,0.0,0.0
36-45,F,Rhode Island,0.0,1.0,0.0,0.0,0.0
36-45,F,South Carolina,0.0,0.851,0.0,0.0,0.149
36-45,F,South Dakota,0.0,0.0,0.357,0.0,0.643
36-45,F,Tennessee,0.0,0.851,0.0,0.0,0.149
36-45,F,Texas,0.0,0.851,0.0,0.0,0.149
36-45,F,Utah,0.0,0.326,0.674,0.0,0.0
36-45,F,Vermont,0.0,1.0,0.0,0.0,0.0
36-45,F,Virginia,0.0,0.851,0.0,0.0,0.149
36-45,F,Washington,0.0,0.326,0.674,0.0,0.0
36-45,F,West Virginia,0.0,0.851,0.0,0.0,0.149
36-45,F,Wisconsin,0.0,0.0,0.357,0.0,0.643
36-45,F,Wyoming,0.0,0.326,0.674,0.0,0.0
36-45,M,Alabama,0.124,0.347,0.53,0.0,0.0
36-45,M,Arkansas,0.124,0.347,0.53,0.0,0.0
36-45,M,Connecticut,0.0,0.386,0.614,0.0,0.0
36-45,M,Delaware,0.124,0.347,0.53,0.0,0.0
36-45,M,District of Columbia,0.124,0.347,0.53,0.0,0.0
36-45,M,Florida,0.124,0.347,0.53,0.0,0.0
36-45,M,Georgia,0.124,0.347,0.53,0.0,0.0
36-45,M,Illinois,0.0,0.301,0.353,0.0,0.345
36-45,M,Indiana,0.0,0.301,0.353,0.0,0.345
36-45,M,Iowa,0.0,0.301,0.353,0.0,0.345
36-45,M,Kansas,0.0,0.301,0.353,0.0,0.345
36-45,M,Kentucky,0.124,0.347,0.53,0.0,0.0
36-45,M,Louisiana,0.124,0.347,0.53,0.0,0.0
36-45,M,Maine,0.0,0.386,0.614,0.0,0.0
36-45,M,Maryland,0.124,0.347,0.53,0.0,0.0
36-45,M,Massachusetts,0.0,0.386,0.614,0.0,0.0
36-45,M,Michigan,0.0,0.301,0.353,0.0,0.345
36-45,M,Minnesota,0.0,0.301,0.353,0.0,0.345
36-45,M,Mississippi,0.124,0.347,0.53,0.0,0.0
36-45,M,Missouri,0.0,0.301,0.353,0.0,0.345
