age,gender,state,Prescribe_Valsartan_160_Mg_Oral_Tablet,Prescribe_Valsartan_320_Mg_Oral_Tablet,Prescribe_Valsartan_320_Mg_Oral_Tablet_Diovan,Prescribe_Valsartan_40_Mg_Oral_Tablet,Prescribe_Valsartan_80_Mg_Oral_Tablet
18-25,M,Connecticut,1.0,0.0,0.0,0.0,0.0
18-25,M,Maine,1.0,0.0,0.0,0.0,0.0
18-25,M,Massachusetts,1.0,0.0,0.0,0.0,0.0
18-25,M,New Hampshire,1.0,0.0,0.0,0.0,0.0
18-25,M,New Jersey,1.0,0.0,0.0,0.0,0.0
18-25,M,New York,1.0,0.0,0.0,0.0,0.0
18-25,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0
18-25,M,Rhode Island,1.0,0.0,0.0,0.0,0.0
18-25,M,Vermont,1.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.0,0.586,0.0,0.0,0.414
26-35,F,Arkansas,0.0,0.586,0.0,0.0,0.414
26-35,F,Delaware,0.0,0.586,0.0,0.0,0.414
26-35,F,District of Columbia,0.0,0.586,0.0,0.0,0.414
26-35,F,Florida,0.0,0.586,0.0,0.0,0.414
26-35,F,Georgia,0.0,0.586,0.0,0.0,0.414
26-35,F,Kentucky,0.0,0.586,0.0,0.0,0.414
26-35,F,Louisiana,0.0,0.586,0.0,0.0,0.414
26-35,F,Maryland,0.0,0.586,0.0,0.0,0.414
26-35,F,Mississippi,0.0,0.586,0.0,0.0,0.414
26-35,F,North Carolina,0.0,0.586,0.0,0.0,0.414
26-35,F,Oklahoma,0.0,0.586,0.0,0.0,0.414
26-35,F,South Carolina,0.0,0.586,0.0,0.0,0.414
26-35,F,Tennessee,0.0,0.586,0.0,0.0,0.414
26-35,F,Texas,0.0,0.586,0.0,0.0,0.414
26-35,F,Virginia,0.0,0.586,0.0,0.0,0.414
26-35,F,West Virginia,0.0,0.586,0.0,0.0,0.414
26-35,M,Connecticut,0.0,0.0,0.0,0.0,1.0
26-35,M,Maine,0.0,0.0,0.0,0.0,1.0
26-35,M,Massachusetts,0.0,0.0,0.0,0.0,1.0
26-35,M,New Hampshire,0.0,0.0,0.0,0.0,1.0
26-35,M,New Jersey,0.0,0.0,0.0,0.0,1.0
26-35,M,New York,0.0,0.0,0.0,0.0,1.0
26-35,M,Pennsylvania,0.0,0.0,0.0,0.0,1.0
26-35,M,Rhode Island,0.0,0.0,0.0,0.0,1.0
26-35,M,Vermont,0.0,0.0,0.0,0.0,1.0
36-45,F,Alabama,0.0,1.0,0.0,0.0,0.0
36-45,F,Arkansas,0.0,1.0,0.0,0.0,0.0
36-45,F,Delaware,0.0,1.0,0.0,0.0,0.0
36-45,F,District of Columbia,0.0,1.0,0.0,0.0,0.0
36-45,F,Florida,0.0,1.0,0.0,0.0,0.0
36-45,F,Georgia,0.0,1.0,0.0,0.0,0.0
36-45,F,Illinois,0.0,0.0,0.0,0.0,1.0
36-45,F,Indiana,0.0,0.0,0.0,0.0,1.0
36-45,F,Iowa,0.0,0.0,0.0,0.0,1.0
36-45,F,Kansas,0.0,0.0,0.0,0.0,1.0
36-45,F,Kentucky,0.0,1.0,0.0,0.0,0.0
36-45,F,Louisiana,0.0,1.0,0.0,0.0,0.0
36-45,F,Maryland,0.0,1.0,0.0,0.0,0.0
36-45,F,Michigan,0.0,0.0,0.0,0.0,1.0
36-45,F,Minnesota,0.0,0.0,0.0,0.0,1.0
36-45,F,Mississippi,0.0,1.0,0.0,0.0,0.0
36-45,F,Missouri,0.0,0.0,0.0,0.0,1.0
36-45,F,Nebraska,0.0,0.0,0.0,0.0,1.0
36-45,F,North Carolina,0.0,1.0,0.0,0.0,0.0
36-45,F,North Dakota,0.0,0.0,0.0,0.0,1.0
36-45,F,Ohio,0.0,0.0,0.0,0.0,1.0
36-45,F,Oklahoma,0.0,1.0,0.0,0.0,0.0
36-45,F,South Carolina,0.0,1.0,0.0,0.0,0.0
36-45,F,South Dakota,0.0,0.0,0.0,0.0,1.0
36-45,F,Tennessee,0.0,1.0,0.0,0.0,0.0
36-45,F,Texas,0.0,1.0,0.0,0.0,0.0
36-45,F,Virginia,0.0,1.0,0.0,0.0,0.0
36-45,F,West Virginia,0.0,1.0,0.0,0.0,0.0
36-45,F,Wisconsin,0.0,0.0,0.0,0.0,1.0
36-45,M,Alabama,0.166,0.166,0.0,0.0,0.667
36-45,M,Alaska,0.0,0.0,0.0,0.0,1.0
36-45,M,Arizona,0.0,0.0,0.0,0.0,1.0
36-45,M,Arkansas,0.166,0.166,0.0,0.0,0.667
36-45,M,California,0.0,0.0,0.0,0.0,1.0
36-45,M,Colorado,0.0,0.0,0.0,0.0,1.0
36-45,M,Connecticut,0.496,0.0,0.0,0.504,0.0
36-45,M,Delaware,0.166,0.166,0.0,0.0,0.667
36-45,M,District of Columbia,0.166,0.166,0.0,0.0,0.667
36-45,M,Florida,0.166,0.166,0.0,0.0,0.667
36-45,M,Georgia,0.166,0.166,0.0,0.0,0.667
36-45,M,Hawaii,0.0,0.0,0.0,0.0,1.0
36-45,M,Idaho,0.0,0.0,0.0,0.0,1.0
36-45,M,Illinois,0.379,0.0,0.0,0.0,0.621
36-45,M,Indiana,0.379,0.0,0.0,0.0,0.621
36-45,M,Iowa,0.379,0.0,0.0,0.0,0.621
36-45,M,Kansas,0.379,0.0,0.0,0.0,0.621
36-45,M,Kentucky,0.166,0.166,0.0,0.0,0.667
36-45,M,Louisiana,0.166,0.166,0.0,0.0,0.667
36-45,M,Maine,0.496,0.0,0.0,0.504,0.0
36-45,M,Maryland,0.166,0.166,0.0,0.0,0.667
36-45,M,Massachusetts,0.496,0.0,0.0,0.504,0.0
36-45,M,Michigan,0.379,0.0,0.0,0.0,0.621
36-45,M,Minnesota,0.379,0.0,0.0,0.0,0.621
36-45,M,Mississippi,0.166,0.166,0.0,0.0,0.667
36-45,M,Missouri,0.379,0.0,0.0,0.0,0.621
36-45,M,Montana,0.0,0.0,0.0,0.0,1.0
36-45,M,Nebraska,0.379,0.0,0.0,0.0,0.621
36-45,M,Nevada,0.0,0.0,0.0,0.0,1.0
36-45,M,New Hampshire,0.496,0.0,0.0,0.504,0.0
36-45,M,New Jersey,0.496,0.0,0.0,0.504,0.0
36-45,M,New Mexico,0.0,0.0,0.0,0.0,1.0
36-45,M,New York,0.496,0.0,0.0,0.504,0.0
36-45,M,North Carolina,0.166,0.166,0.0,0.0,0.667
36-45,M,North Dakota,0.379,0.0,0.0,0.0,0.621
36-45,M,Ohio,0.379,0.0,0.0,0.0,0.621
36-45,M,Oklahoma,0.166,0.166,0.0,0.0,0.667
36-45,M,Oregon,0.0,0.0,0.0,0.0,1.0
36-45,M,Pennsylvania,0.496,0.0,0.0,0.504,0.0
36-45,M,Rhode Island,0.496,0.0,0.0,0.504,0.0
36-45,M,South Carolina,0.166,0.166,0.0,0.0,0.667
36-45,M,South Dakota,0.379,0.0,0.0,0.0,0.621
36-45,M,Tennessee,0.166,0.166,0.0,0.0,0.667
36-45,M,Texas,0.166,0.166,0.0,0.0,0.667
36-45,M,Utah,0.0,0.0,0.0,0.0,1.0
36-45,M,Vermont,0.496,0.0,0.0,0.504,0.0
36-45,M,Virginia,0.166,0.166,0.0,0.0,0.667
36-45,M,Washington,0.0,0.0,0.0,0.0,1.0
36-45,M,West Virginia,0.166,0.166,0.0,0.0,0.667
36-45,M,Wisconsin,0.379,0.0,0.0,0.0,0.621
36-45,M,Wyoming,0.0,0.0,0.0,0.0,1.0
46-65,F,Alabama,0.513,0.212,0.0,0.0,0.275
46-65,F,Alaska,0.0,0.144,0.0,0.0,0.856
46-65,F,Arizona,0.0,0.144,0.0,0.0,0.856
46-65,F,Arkansas,0.513,0.212,0.0,0.0,0.275
46-65,F,California,0.0,0.144,0.0,0.0,0.856
46-65,F,Colorado,0.0,0.144,0.0,0.0,0.856
46-65,F,Connecticut,0.593,0.184,0.0,0.128,0.095
46-65,F,Delaware,0.513,0.212,0.0,0.0,0.275
46-65,F,District of Columbia,0.513,0.212,0.0,0.0,0.275
46-65,F,Florida,0.513,0.212,0.0,0.0,0.275
46-65,F,Georgia,0.513,0.212,0.0,0.0,0.275
46-65,F,Hawaii,0.0,0.144,0.0,0.0,0.856
46-65,F,Idaho,0.0,0.144,0.0,0.0,0.856
46-65,F,Illinois,0.498,0.347,0.0,0.0,0.155
46-65,F,Indiana,0.498,0.347,0.0,0.0,0.155
46-65,F,Iowa,0.498,0.347,0.0,0.0,0.155
