age,gender,state,Prescribe_Simvastatin_10_Mg_Oral_Tablet,Prescribe_Simvastatin_20_Mg_Oral_Tablet,Prescribe_Simvastatin_40_Mg_Oral_Tablet,Prescribe_Simvastatin_5_Mg_Oral_Tablet,Prescribe_Simvastatin_80_Mg_Oral_Tablet
26-35,F,Alabama,0.14,0.0,0.86,0.0,0.0
26-35,F,Alaska,1.0,0.0,0.0,0.0,0.0
26-35,F,Arizona,1.0,0.0,0.0,0.0,0.0
26-35,F,Arkansas,0.14,0.0,0.86,0.0,0.0
26-35,F,California,1.0,0.0,0.0,0.0,0.0
26-35,F,Colorado,1.0,0.0,0.0,0.0,0.0
26-35,F,Delaware,0.14,0.0,0.86,0.0,0.0
26-35,F,District of Columbia,0.14,0.0,0.86,0.0,0.0
26-35,F,Florida,0.14,0.0,0.86,0.0,0.0
26-35,F,Georgia,0.14,0.0,0.86,0.0,0.0
26-35,F,Hawaii,1.0,0.0,0.0,0.0,0.0
26-35,F,Idaho,1.0,0.0,0.0,0.0,0.0
26-35,F,Illinois,0.0,0.756,0.244,0.0,0.0
26-35,F,Indiana,0.0,0.756,0.244,0.0,0.0
26-35,F,Iowa,0.0,0.756,0.244,0.0,0.0
26-35,F,Kansas,0.0,0.756,0.244,0.0,0.0
26-35,F,Kentucky,0.14,0.0,0.86,0.0,0.0
26-35,F,Louisiana,0.14,0.0,0.86,0.0,0.0
26-35,F,Maryland,0.14,0.0,0.86,0.0,0.0
26-35,F,Michigan,0.0,0.756,0.244,0.0,0.0
26-35,F,Minnesota,0.0,0.756,0.244,0.0,0.0
26-35,F,Mississippi,0.14,0.0,0.86,0.0,0.0
26-35,F,Missouri,0.0,0.756,0.244,0.0,0.0
26-35,F,Montana,1.0,0.0,0.0,0.0,0.0
26-35,F,Nebraska,0.0,0.756,0.244,0.0,0.0
26-35,F,Nevada,1.0,0.0,0.0,0.0,0.0
26-35,F,New Mexico,1.0,0.0,0.0,0.0,0.0
26-35,F,North Carolina,0.14,0.0,0.86,0.0,0.0
26-35,F,North Dakota,0.0,0.756,0.244,0.0,0.0
26-35,F,Ohio,0.0,0.756,0.244,0.0,0.0
26-35,F,Oklahoma,0.14,0.0,0.86,0.0,0.0
26-35,F,Oregon,1.0,0.0,0.0,0.0,0.0
26-35,F,South Carolina,0.14,0.0,0.86,0.0,0.0
26-35,F,South Dakota,0.0,0.756,0.244,0.0,0.0
26-35,F,Tennessee,0.14,0.0,0.86,0.0,0.0
26-35,F,Texas,0.14,0.0,0.86,0.0,0.0
26-35,F,Utah,1.0,0.0,0.0,0.0,0.0
26-35,F,Virginia,0.14,0.0,0.86,0.0,0.0
26-35,F,Washington,1.0,0.0,0.0,0.0,0.0
26-35,F,West Virginia,0.14,0.0,0.86,0.0,0.0
26-35,F,Wisconsin,0.0,0.756,0.244,0.0,0.0
26-35,F,Wyoming,1.0,0.0,0.0,0.0,0.0
26-35,M,Alabama,0.0,1.0,0.0,0.0,0.0
26-35,M,Arkansas,0.0,1.0,0.0,0.0,0.0
26-35,M,Delaware,0.0,1.0,0.0,0.0,0.0
26-35,M,District of Columbia,0.0,1.0,0.0,0.0,0.0
26-35,M,Florida,0.0,1.0,0.0,0.0,0.0
26-35,M,Georgia,0.0,1.0,0.0,0.0,0.0
26-35,M,Kentucky,0.0,1.0,0.0,0.0,0.0
26-35,M,Louisiana,0.0,1.0,0.0,0.0,0.0
26-35,M,Maryland,0.0,1.0,0.0,0.0,0.0
26-35,M,Mississippi,0.0,1.0,0.0,0.0,0.0
26-35,M,North Carolina,0.0,1.0,0.0,0.0,0.0
26-35,M,Oklahoma,0.0,1.0,0.0,0.0,0.0
26-35,M,South Carolina,0.0,1.0,0.0,0.0,0.0
26-35,M,Tennessee,0.0,1.0,0.0,0.0,0.0
26-35,M,Texas,0.0,1.0,0.0,0.0,0.0
