time,age,gender,Death,Living_with_Diagnosis_Early_Years
694224000922-725846400921,0-12,M,0.1400,0.8600
694224000922-725846400921,0-12,F,0.1400,0.8600
694224000922-725846400921,13-150,M,0.2784,0.7216
694224000922-725846400921,13-150,F,0.2713,0.7287
725846400922-757382400921,0-12,M,0.1520,0.8480
725846400922-757382400921,0-12,F,0.1520,0.8480
725846400922-757382400921,13-150,M,0.1863,0.8137
725846400922-757382400921,13-150,F,0.1652,0.8348
757382400922-788918400921,0-12,M,0.1503,0.8497
757382400922-788918400921,0-12,F,0.1503,0.8497
757382400922-788918400921,13-150,M,0.2055,0.7945
757382400922-788918400921,13-150,F,0.1855,0.8145
788918400922-820454400921,0-12,M,0.1367,0.8633
788918400922-820454400921,0-12,F,0.1367,0.8633
788918400922-820454400921,13-24,M,0.0984,0.9016
788918400922-820454400921,13-24,F,0.1008,0.8992
788918400922-820454400921,25-29,M,0.1393,0.8607
788918400922-820454400921,25-29,F,0.1353,0.8647
788918400922-820454400921,30-34,M,0.1747,0.8253
788918400922-820454400921,30-34,F,0.1619,0.8381
788918400922-820454400921,35-39,M,0.1977,0.8023
788918400922-820454400921,35-39,F,0.1749,0.8251
788918400922-820454400921,40-44,M,0.2103,0.7897
788918400922-820454400921,40-44,F,0.1975,0.8025
788918400922-820454400921,45-49,M,0.2283,0.7717
788918400922-820454400921,45-49,F,0.2300,0.7700
788918400922-820454400921,50-54,M,0.2444,0.7556
788918400922-820454400921,50-54,F,0.2224,0.7776
788918400922-820454400921,55-59,M,0.2726,0.7274
788918400922-820454400921,55-59,F,0.2764,0.7236
788918400922-820454400921,60-64,M,0.2875,0.7125
788918400922-820454400921,60-64,F,0.2576,0.7424
788918400922-820454400921,65-69,M,0.3441,0.6559
788918400922-820454400921,65-69,F,0.3167,0.6833
788918400922-820454400921,70-150,M,0.3718,0.6282
788918400922-820454400921,70-150,F,0.3710,0.6290
820454400922-852076800921,0-12,M,0.1084,0.8916
820454400922-852076800921,0-12,F,0.1084,0.8916
820454400922-852076800921,13-24,M,0.0646,0.9354
820454400922-852076800921,13-24,F,0.0704,0.9296
820454400922-852076800921,25-29,M,0.0975,0.9025
820454400922-852076800921,25-29,F,0.0988,0.9012
820454400922-852076800921,30-34,M,0.1190,0.8810
820454400922-852076800921,30-34,F,0.1201,0.8799
820454400922-852076800921,35-39,M,0.1365,0.8635
820454400922-852076800921,35-39,F,0.1340,0.8660
820454400922-852076800921,40-44,M,0.1463,0.8537
820454400922-852076800921,40-44,F,0.1510,0.8490
820454400922-852076800921,45-49,M,0.1584,0.8416
820454400922-852076800921,45-49,F,0.1720,0.8280
820454400922-852076800921,50-54,M,0.1713,0.8287
820454400922-852076800921,50-54,F,0.1693,0.8307
820454400922-852076800921,55-59,M,0.1886,0.8114
820454400922-852076800921,55-59,F,0.1870,0.8130
820454400922-852076800921,60-64,M,0.2178,0.7822
820454400922-852076800921,60-64,F,0.2415,0.7585
820454400922-852076800921,65-69,M,0.2334,0.7666
820454400922-852076800921,65-69,F,0.2492,0.7508
820454400922-852076800921,70-150,M,0.3134,0.6866
820454400922-852076800921,70-150,F,0.2636,0.7364
852076800922-883612800921,0-12,M,0.0569,0.9431
852076800922-883612800921,0-12,F,0.0569,0.9431
852076800922-883612800921,13-24,M,0.0443,0.9557
852076800922-883612800921,13-24,F,0.0502,0.9498
852076800922-883612800921,25-29,M,0.0581,0.9419
