age,gender,state,Prescribe_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_25_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_25_Mg_Oral_Tablet_Cozaar,Prescribe_Losartan_Potassium_50_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_50_Mg_Oral_Tablet_Cozaar
18-25,F,Illinois,0.0,0.0,0.0,1.0,0.0
18-25,F,Indiana,0.0,0.0,0.0,1.0,0.0
18-25,F,Iowa,0.0,0.0,0.0,1.0,0.0
18-25,F,Kansas,0.0,0.0,0.0,1.0,0.0
18-25,F,Michigan,0.0,0.0,0.0,1.0,0.0
18-25,F,Minnesota,0.0,0.0,0.0,1.0,0.0
18-25,F,Missouri,0.0,0.0,0.0,1.0,0.0
18-25,F,Nebraska,0.0,0.0,0.0,1.0,0.0
18-25,F,North Dakota,0.0,0.0,0.0,1.0,0.0
18-25,F,Ohio,0.0,0.0,0.0,1.0,0.0
18-25,F,South Dakota,0.0,0.0,0.0,1.0,0.0
18-25,F,Wisconsin,0.0,0.0,0.0,1.0,0.0
18-25,M,Alaska,1.0,0.0,0.0,0.0,0.0
18-25,M,Arizona,1.0,0.0,0.0,0.0,0.0
18-25,M,California,1.0,0.0,0.0,0.0,0.0
18-25,M,Colorado,1.0,0.0,0.0,0.0,0.0
18-25,M,Hawaii,1.0,0.0,0.0,0.0,0.0
18-25,M,Idaho,1.0,0.0,0.0,0.0,0.0
18-25,M,Montana,1.0,0.0,0.0,0.0,0.0
18-25,M,Nevada,1.0,0.0,0.0,0.0,0.0
18-25,M,New Mexico,1.0,0.0,0.0,0.0,0.0
18-25,M,Oregon,1.0,0.0,0.0,0.0,0.0
18-25,M,Utah,1.0,0.0,0.0,0.0,0.0
18-25,M,Washington,1.0,0.0,0.0,0.0,0.0
18-25,M,Wyoming,1.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.395,0.144,0.0,0.461,0.0
26-35,F,Alaska,0.0,1.0,0.0,0.0,0.0
26-35,F,Arizona,0.0,1.0,0.0,0.0,0.0
26-35,F,Arkansas,0.395,0.144,0.0,0.461,0.0
26-35,F,California,0.0,1.0,0.0,0.0,0.0
26-35,F,Colorado,0.0,1.0,0.0,0.0,0.0
26-35,F,Delaware,0.395,0.144,0.0,0.461,0.0
26-35,F,District of Columbia,0.395,0.144,0.0,0.461,0.0
26-35,F,Florida,0.395,0.144,0.0,0.461,0.0
26-35,F,Georgia,0.395,0.144,0.0,0.461,0.0
26-35,F,Hawaii,0.0,1.0,0.0,0.0,0.0
26-35,F,Idaho,0.0,1.0,0.0,0.0,0.0
26-35,F,Kentucky,0.395,0.144,0.0,0.461,0.0
26-35,F,Louisiana,0.395,0.144,0.0,0.461,0.0
26-35,F,Maryland,0.395,0.144,0.0,0.461,0.0
26-35,F,Mississippi,0.395,0.144,0.0,0.461,0.0
26-35,F,Montana,0.0,1.0,0.0,0.0,0.0
26-35,F,Nevada,0.0,1.0,0.0,0.0,0.0
26-35,F,New Mexico,0.0,1.0,0.0,0.0,0.0
26-35,F,North Carolina,0.395,0.144,0.0,0.461,0.0
26-35,F,Oklahoma,0.395,0.144,0.0,0.461,0.0
26-35,F,Oregon,0.0,1.0,0.0,0.0,0.0
26-35,F,South Carolina,0.395,0.144,0.0,0.461,0.0
26-35,F,Tennessee,0.395,0.144,0.0,0.461,0.0
26-35,F,Texas,0.395,0.144,0.0,0.461,0.0
26-35,F,Utah,0.0,1.0,0.0,0.0,0.0
