cardiac_surgery,operative_status,Platelet_Transfusion,Plasma_Check
cabg,elective,0.038095,0.961905
cabg,emergent,0.02381,0.97619
cabg,emergent_salvage,0.001,0.999
cabg,urgent,0.022222,0.977778
tavr,elective,0.002326,0.997674
tavr,emergent,0.001,0.999
tavr,emergent_salvage,0.001,0.999
tavr,urgent,0.001,0.999
savreplace,elective,0.018519,0.981481
savreplace,emergent,0.666667,0.333333
savreplace,emergent_salvage,0.001,0.999
savreplace,urgent,0.2,0.8
savrepair,elective,0.001,0.999
savrepair,emergent,0.001,0.999
savrepair,emergent_salvage,0.001,0.999
savrepair,urgent,0.001,0.999
