age,gender,vhf_tr_risk,Tricuspid Valve Regurgitation,Annual Check
0-4,M,true,0.000006,0.999994
5-9,M,true,0.000005,0.999995
10-14,M,true,0.000004,0.999996
15-19,M,true,0.000009,0.999991
20-24,M,true,0.000005,0.999995
25-29,M,true,0.000007,0.999993
30-34,M,true,0.000005,0.999995
35-39,M,true,0.000008,0.999992
40-44,M,true,0.000009,0.999991
45-49,M,true,0.000011,0.999989
50-54,M,true,0.000015,0.999985
55-59,M,true,0.000027,0.999973
60-64,M,true,0.000045,0.999955
65-69,M,true,0.000081,0.999919
70-74,M,true,0.000124,0.999876
75-79,M,true,0.000197,0.999803
80-84,M,true,0.000213,0.999787
85-140,M,true,0.000181,0.999819
0-4,F,true,0.000007,0.999993
5-9,F,true,0.000003,0.999997
10-14,F,true,0.000003,0.999997
15-19,F,true,0.000006,0.999994
20-24,F,true,0.000008,0.999992
25-29,F,true,0.000008,0.999992
30-34,F,true,0.000008,0.999992
35-39,F,true,0.000014,0.999986
40-44,F,true,0.000013,0.999987
45-49,F,true,0.000014,0.999986
50-54,F,true,0.000019,0.999981
55-59,F,true,0.000026,0.999974
60-64,F,true,0.000055,0.999945
65-69,F,true,0.000086,0.999914
70-74,F,true,0.000143,0.999857
75-79,F,true,0.000224,0.999776
80-84,F,true,0.000266,0.999734
85-140,F,true,0.000185,0.999815
0-140,M,false,0,1
0-140,F,false,0,1
