age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Lisinopril_10_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Lisinopril_20_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Lisinopril_20_Mg_Oral_Tablet
18-25,F,Alabama,0.0,0.0,0.0
18-25,F,Arkansas,0.0,0.0,0.0
18-25,F,Delaware,0.0,0.0,0.0
18-25,F,District of Columbia,0.0,0.0,0.0
18-25,F,Florida,0.0,0.0,0.0
18-25,F,Georgia,0.0,0.0,0.0
18-25,F,Kentucky,0.0,0.0,0.0
18-25,F,Louisiana,0.0,0.0,0.0
18-25,F,Maryland,0.0,0.0,0.0
18-25,F,Mississippi,0.0,0.0,0.0
18-25,F,North Carolina,0.0,0.0,0.0
18-25,F,Oklahoma,0.0,0.0,0.0
18-25,F,South Carolina,0.0,0.0,0.0
18-25,F,Tennessee,0.0,0.0,0.0
18-25,F,Texas,0.0,0.0,0.0
18-25,F,Virginia,0.0,0.0,0.0
18-25,F,West Virginia,0.0,0.0,0.0
26-35,F,Alabama,0.0,1.0,0.0
26-35,F,Arkansas,0.0,1.0,0.0
26-35,F,Delaware,0.0,1.0,0.0
26-35,F,District of Columbia,0.0,1.0,0.0
26-35,F,Florida,0.0,1.0,0.0
26-35,F,Georgia,0.0,1.0,0.0
26-35,F,Illinois,1.0,0.0,0.0
26-35,F,Indiana,1.0,0.0,0.0
26-35,F,Iowa,1.0,0.0,0.0
26-35,F,Kansas,1.0,0.0,0.0
26-35,F,Kentucky,0.0,1.0,0.0
26-35,F,Louisiana,0.0,1.0,0.0
26-35,F,Maryland,0.0,1.0,0.0
26-35,F,Michigan,1.0,0.0,0.0
26-35,F,Minnesota,1.0,0.0,0.0
26-35,F,Mississippi,0.0,1.0,0.0
26-35,F,Missouri,1.0,0.0,0.0
26-35,F,Nebraska,1.0,0.0,0.0
26-35,F,North Carolina,0.0,1.0,0.0
26-35,F,North Dakota,1.0,0.0,0.0
26-35,F,Ohio,1.0,0.0,0.0
26-35,F,Oklahoma,0.0,1.0,0.0
26-35,F,South Carolina,0.0,1.0,0.0
26-35,F,South Dakota,1.0,0.0,0.0
26-35,F,Tennessee,0.0,1.0,0.0
26-35,F,Texas,0.0,1.0,0.0
26-35,F,Virginia,0.0,1.0,0.0
26-35,F,West Virginia,0.0,1.0,0.0
26-35,F,Wisconsin,1.0,0.0,0.0
26-35,M,Illinois,0.382,0.618,0.0
26-35,M,Indiana,0.382,0.618,0.0
26-35,M,Iowa,0.382,0.618,0.0
26-35,M,Kansas,0.382,0.618,0.0
26-35,M,Michigan,0.382,0.618,0.0
26-35,M,Minnesota,0.382,0.618,0.0
26-35,M,Missouri,0.382,0.618,0.0
26-35,M,Nebraska,0.382,0.618,0.0
26-35,M,North Dakota,0.382,0.618,0.0
26-35,M,Ohio,0.382,0.618,0.0
26-35,M,South Dakota,0.382,0.618,0.0
26-35,M,Wisconsin,0.382,0.618,0.0
36-45,F,Alabama,0.122,0.284,0.594
36-45,F,Arkansas,0.122,0.284,0.594
36-45,F,Connecticut,0.0,0.0,1.0
36-45,F,Delaware,0.122,0.284,0.594
36-45,F,District of Columbia,0.122,0.284,0.594
36-45,F,Florida,0.122,0.284,0.594
36-45,F,Georgia,0.122,0.284,0.594
36-45,F,Illinois,0.566,0.155,0.279
36-45,F,Indiana,0.566,0.155,0.279
36-45,F,Iowa,0.566,0.155,0.279
36-45,F,Kansas,0.566,0.155,0.279
36-45,F,Kentucky,0.122,0.284,0.594
36-45,F,Louisiana,0.122,0.284,0.594
36-45,F,Maine,0.0,0.0,1.0
36-45,F,Maryland,0.122,0.284,0.594
36-45,F,Massachusetts,0.0,0.0,1.0
36-45,F,Michigan,0.566,0.155,0.279
36-45,F,Minnesota,0.566,0.155,0.279
36-45,F,Mississippi,0.122,0.284,0.594
36-45,F,Missouri,0.566,0.155,0.279
36-45,F,Nebraska,0.566,0.155,0.279
36-45,F,New Hampshire,0.0,0.0,1.0
36-45,F,New Jersey,0.0,0.0,1.0
36-45,F,New York,0.0,0.0,1.0
36-45,F,North Carolina,0.122,0.284,0.594
36-45,F,North Dakota,0.566,0.155,0.279
36-45,F,Ohio,0.566,0.155,0.279
36-45,F,Oklahoma,0.122,0.284,0.594
36-45,F,Pennsylvania,0.0,0.0,1.0
36-45,F,Rhode Island,0.0,0.0,1.0
36-45,F,South Carolina,0.122,0.284,0.594
36-45,F,South Dakota,0.566,0.155,0.279
36-45,F,Tennessee,0.122,0.284,0.594
36-45,F,Texas,0.122,0.284,0.594
36-45,F,Vermont,0.0,0.0,1.0
36-45,F,Virginia,0.122,0.284,0.594
36-45,F,West Virginia,0.122,0.284,0.594
36-45,F,Wisconsin,0.566,0.155,0.279
36-45,M,Alabama,0.326,0.459,0.215
36-45,M,Alaska,0.0,0.478,0.522
36-45,M,Arizona,0.0,0.478,0.522
36-45,M,Arkansas,0.326,0.459,0.215
36-45,M,California,0.0,0.478,0.522
36-45,M,Colorado,0.0,0.478,0.522
36-45,M,Connecticut,1.0,0.0,0.0
36-45,M,Delaware,0.326,0.459,0.215
36-45,M,District of Columbia,0.326,0.459,0.215
36-45,M,Florida,0.326,0.459,0.215
36-45,M,Georgia,0.326,0.459,0.215
36-45,M,Hawaii,0.0,0.478,0.522
36-45,M,Idaho,0.0,0.478,0.522
36-45,M,Illinois,0.0,0.319,0.681
36-45,M,Indiana,0.0,0.319,0.681
36-45,M,Iowa,0.0,0.319,0.681
36-45,M,Kansas,0.0,0.319,0.681
36-45,M,Kentucky,0.326,0.459,0.215
36-45,M,Louisiana,0.326,0.459,0.215
36-45,M,Maine,1.0,0.0,0.0
36-45,M,Maryland,0.326,0.459,0.215
36-45,M,Massachusetts,1.0,0.0,0.0
36-45,M,Michigan,0.0,0.319,0.681
36-45,M,Minnesota,0.0,0.319,0.681
36-45,M,Mississippi,0.326,0.459,0.215
36-45,M,Missouri,0.0,0.319,0.681
36-45,M,Montana,0.0,0.478,0.522
36-45,M,Nebraska,0.0,0.319,0.681
36-45,M,Nevada,0.0,0.478,0.522
36-45,M,New Hampshire,1.0,0.0,0.0
36-45,M,New Jersey,1.0,0.0,0.0
36-45,M,New Mexico,0.0,0.478,0.522
36-45,M,New York,1.0,0.0,0.0
36-45,M,North Carolina,0.326,0.459,0.215
36-45,M,North Dakota,0.0,0.319,0.681
36-45,M,Ohio,0.0,0.319,0.681
36-45,M,Oklahoma,0.326,0.459,0.215
36-45,M,Oregon,0.0,0.478,0.522
36-45,M,Pennsylvania,1.0,0.0,0.0
36-45,M,Rhode Island,1.0,0.0,0.0
36-45,M,South Carolina,0.326,0.459,0.215
36-45,M,South Dakota,0.0,0.319,0.681
36-45,M,Tennessee,0.326,0.459,0.215
36-45,M,Texas,0.326,0.459,0.215
36-45,M,Utah,0.0,0.478,0.522
36-45,M,Vermont,1.0,0.0,0.0
36-45,M,Virginia,0.326,0.459,0.215
36-45,M,Washington,0.0,0.478,0.522
36-45,M,West Virginia,0.326,0.459,0.215
36-45,M,Wisconsin,0.0,0.319,0.681
36-45,M,Wyoming,0.0,0.478,0.522
46-65,F,Alabama,0.309,0.316,0.375
46-65,F,Alaska,0.461,0.539,0.0
46-65,F,Arizona,0.461,0.539,0.0
46-65,F,Arkansas,0.309,0.316,0.375
46-65,F,California,0.461,0.539,0.0
46-65,F,Colorado,0.461,0.539,0.0
46-65,F,Connecticut,0.059,0.628,0.313
46-65,F,Delaware,0.309,0.316,0.375
46-65,F,District of Columbia,0.309,0.316,0.375
46-65,F,Florida,0.309,0.316,0.375
46-65,F,Georgia,0.309,0.316,0.375
46-65,F,Hawaii,0.461,0.539,0.0
46-65,F,Idaho,0.461,0.539,0.0
46-65,F,Illinois,0.196,0.286,0.517
46-65,F,Indiana,0.196,0.286,0.517
46-65,F,Iowa,0.196,0.286,0.517
46-65,F,Kansas,0.196,0.286,0.517
46-65,F,Kentucky,0.309,0.316,0.375
46-65,F,Louisiana,0.309,0.316,0.375
46-65,F,Maine,0.059,0.628,0.313
46-65,F,Maryland,0.309,0.316,0.375
46-65,F,Massachusetts,0.059,0.628,0.313
46-65,F,Michigan,0.196,0.286,0.517
46-65,F,Minnesota,0.196,0.286,0.517
46-65,F,Mississippi,0.309,0.316,0.375
46-65,F,Missouri,0.196,0.286,0.517
46-65,F,Montana,0.461,0.539,0.0
46-65,F,Nebraska,0.196,0.286,0.517
46-65,F,Nevada,0.461,0.539,0.0
46-65,F,New Hampshire,0.059,0.628,0.313
46-65,F,New Jersey,0.059,0.628,0.313
46-65,F,New Mexico,0.461,0.539,0.0
46-65,F,New York,0.059,0.628,0.313
46-65,F,North Carolina,0.309,0.316,0.375
46-65,F,North Dakota,0.196,0.286,0.517
46-65,F,Ohio,0.196,0.286,0.517
46-65,F,Oklahoma,0.309,0.316,0.375
46-65,F,Oregon,0.461,0.539,0.0
46-65,F,Pennsylvania,0.059,0.628,0.313
46-65,F,Rhode Island,0.059,0.628,0.313
46-65,F,South Carolina,0.309,0.316,0.375
46-65,F,South Dakota,0.196,0.286,0.517
46-65,F,Tennessee,0.309,0.316,0.375
46-65,F,Texas,0.309,0.316,0.375
46-65,F,Utah,0.461,0.539,0.0
46-65,F,Vermont,0.059,0.628,0.313
46-65,F,Virginia,0.309,0.316,0.375
46-65,F,Washington,0.461,0.539,0.0
46-65,F,West Virginia,0.309,0.316,0.375
46-65,F,Wisconsin,0.196,0.286,0.517
46-65,F,Wyoming,0.461,0.539,0.0
46-65,M,Alabama,0.337,0.296,0.367
46-65,M,Alaska,0.296,0.378,0.326
46-65,M,Arizona,0.296,0.378,0.326
46-65,M,Arkansas,0.337,0.296,0.367
46-65,M,California,0.296,0.378,0.326
46-65,M,Colorado,0.296,0.378,0.326
46-65,M,Connecticut,0.297,0.254,0.45
46-65,M,Delaware,0.337,0.296,0.367
46-65,M,District of Columbia,0.337,0.296,0.367
46-65,M,Florida,0.337,0.296,0.367
46-65,M,Georgia,0.337,0.296,0.367
46-65,M,Hawaii,0.296,0.378,0.326
46-65,M,Idaho,0.296,0.378,0.326
46-65,M,Illinois,0.537,0.11,0.353
46-65,M,Indiana,0.537,0.11,0.353
46-65,M,Iowa,0.537,0.11,0.353
46-65,M,Kansas,0.537,0.11,0.353
46-65,M,Kentucky,0.337,0.296,0.367
46-65,M,Louisiana,0.337,0.296,0.367
46-65,M,Maine,0.297,0.254,0.45
46-65,M,Maryland,0.337,0.296,0.367
46-65,M,Massachusetts,0.297,0.254,0.45
46-65,M,Michigan,0.537,0.11,0.353
46-65,M,Minnesota,0.537,0.11,0.353
46-65,M,Mississippi,0.337,0.296,0.367
46-65,M,Missouri,0.537,0.11,0.353
46-65,M,Montana,0.296,0.378,0.326
46-65,M,Nebraska,0.537,0.11,0.353
46-65,M,Nevada,0.296,0.378,0.326
46-65,M,New Hampshire,0.297,0.254,0.45
46-65,M,New Jersey,0.297,0.254,0.45
46-65,M,New Mexico,0.296,0.378,0.326
46-65,M,New York,0.297,0.254,0.45
46-65,M,North Carolina,0.337,0.296,0.367
46-65,M,North Dakota,0.537,0.11,0.353
46-65,M,Ohio,0.537,0.11,0.353
46-65,M,Oklahoma,0.337,0.296,0.367
46-65,M,Oregon,0.296,0.378,0.326
46-65,M,Pennsylvania,0.297,0.254,0.45
46-65,M,Rhode Island,0.297,0.254,0.45
46-65,M,South Carolina,0.337,0.296,0.367
46-65,M,South Dakota,0.537,0.11,0.353
46-65,M,Tennessee,0.337,0.296,0.367
46-65,M,Texas,0.337,0.296,0.367
46-65,M,Utah,0.296,0.378,0.326
46-65,M,Vermont,0.297,0.254,0.45
46-65,M,Virginia,0.337,0.296,0.367
46-65,M,Washington,0.296,0.378,0.326
46-65,M,West Virginia,0.337,0.296,0.367
46-65,M,Wisconsin,0.537,0.11,0.353
46-65,M,Wyoming,0.296,0.378,0.326
65-103,F,Alabama,0.357,0.388,0.254
65-103,F,Alaska,0.46,0.54,0.0
65-103,F,Arizona,0.46,0.54,0.0
65-103,F,Arkansas,0.357,0.388,0.254
65-103,F,California,0.46,0.54,0.0
65-103,F,Colorado,0.46,0.54,0.0
65-103,F,Connecticut,0.019,0.596,0.385
65-103,F,Delaware,0.357,0.388,0.254
65-103,F,District of Columbia,0.357,0.388,0.254
65-103,F,Florida,0.357,0.388,0.254
65-103,F,Georgia,0.357,0.388,0.254
65-103,F,Hawaii,0.46,0.54,0.0
65-103,F,Idaho,0.46,0.54,0.0
65-103,F,Illinois,0.177,0.39,0.432
65-103,F,Indiana,0.177,0.39,0.432
65-103,F,Iowa,0.177,0.39,0.432
65-103,F,Kansas,0.177,0.39,0.432
65-103,F,Kentucky,0.357,0.388,0.254
65-103,F,Louisiana,0.357,0.388,0.254
