age,gender,vhd_ar_risk,Aortic Valve Regurgitation,Annual Check
0-4,M,true,0.000109,0.999891
5-9,M,true,0.000093,0.999907
10-14,M,true,0.000105,0.999895
15-19,M,true,0.000118,0.999882
20-24,M,true,0.000067,0.999933
25-29,M,true,0.000077,0.999923
30-34,M,true,0.000081,0.999919
35-39,M,true,0.000112,0.999888
40-44,M,true,0.000119,0.999881
45-49,M,true,0.000156,0.999844
50-54,M,true,0.000201,0.999799
55-59,M,true,0.000298,0.999702
60-64,M,true,0.000429,0.999571
65-69,M,true,0.000591,0.999409
70-74,M,true,0.000752,0.999248
75-79,M,true,0.000879,0.999121
80-84,M,true,0.000702,0.999298
85-140,M,true,0.000364,0.999636
0-4,F,true,0.000064,0.999936
5-9,F,true,0.000049,0.999951
10-14,F,true,0.000051,0.999949
15-19,F,true,0.000049,0.999951
20-24,F,true,0.000027,0.999973
25-29,F,true,0.000035,0.999965
30-34,F,true,0.000035,0.999965
35-39,F,true,0.000041,0.999959
40-44,F,true,0.000042,0.999958
45-49,F,true,0.000071,0.999929
50-54,F,true,0.000089,0.999911
55-59,F,true,0.000133,0.999867
60-64,F,true,0.000198,0.999802
65-69,F,true,0.000347,0.999653
70-74,F,true,0.000495,0.999505
75-79,F,true,0.000645,0.999355
80-84,F,true,0.000579,0.999421
85-140,F,true,0.000365,0.999635
0-140,M,false,0,1
0-140,F,false,0,1
