zip,city,state,latitude,longitude,fipscounty,county,ssacounty,fipsstate
210,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
211,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
212,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
213,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
214,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
215,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3040,East Candia,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3041,East Derry,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3073,North Salem,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3802,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3804,Portsmouth,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
3843,Hampton,NH,43.005895,-71.013202,33015,ROCKINGHAM,30070,33.0
501,Holtsville,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
544,Holtsville,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11707,West Babylon,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11708,Amityville,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11739,Great River,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11745,Smithtown,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11749,Islandia,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11750,Huntington Station,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11775,Melville,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11794,Stony Brook,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11805,Mid Island,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11931,Aquebogue,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11969,Southampton,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
11973,Upton,NY,40.922326,-72.637078,36103,SUFFOLK,33700,36.0
601,Adjuntas,PR,18.180103,-66.74947,72001,ADJUNTAS,40010,72.0
602,Aguada,PR,18.363285,-67.18024,72003,AGUADA,40020,72.0
603,Aguadilla,PR,18.448619,-67.13422,72005,AGUADILLA,40030,72.0
604,Aguadilla,PR,18.498987,-67.13699,72005,AGUADILLA,40030,72.0
605,Aguadilla,PR,18.465162,-67.141486,72005,AGUADILLA,40030,72.0
606,Maricao,PR,18.182151,-66.9588,72093,MARICAO,40460,72.0
607,Aguas Buenas,PR,18.256995,-66.10465699999999,72007,AGUAS BUENAS,40040,72.0
609,Aibonito,PR,18.142001999999998,-66.273278,72009,AIBONITO,40050,72.0
610,Anasco,PR,18.288319,-67.13604000000001,72011,ANASCO,40060,72.0
611,Angeles,PR,18.279531,-66.80216999999999,72141,UTUADO,40710,72.0
612,Arecibo,PR,18.449732,-66.69879,72013,ARECIBO,40070,72.0
613,Arecibo,PR,18.458092999999998,-66.732732,72013,ARECIBO,40070,72.0
614,Arecibo,PR,18.429675,-66.67450600000001,72013,ARECIBO,40070,72.0
615,Arroyo,PR,17.96977,-66.061459,72015,ARROYO,40080,72.0
616,Bajadero,PR,18.426748,-66.67669000000001,72013,ARECIBO,40070,72.0
617,Barceloneta,PR,18.455499,-66.55575,72017,BARCELONETA,40090,72.0
618,Barranquitas,PR,18.185463000000002,-66.30582700000001,72019,BARRANQUITAS,40100,72.0
622,Boqueron,PR,18.003125,-67.16745,72023,CABO ROJO,40120,72.0
623,Cabo Rojo,PR,18.08643,-67.15222,72023,CABO ROJO,40120,72.0
624,Penuelas,PR,18.055398999999998,-66.72601999999999,72111,PENUELAS,40550,72.0
625,Caguas,PR,18.232109,-66.039087,72025,CAGUAS,40130,72.0
626,Caguas,PR,18.235003,-66.037318,72025,CAGUAS,40130,72.0
627,Camuy,PR,18.435246,-66.85644,72027,CAMUY,40140,72.0
631,Castaner,PR,18.186739000000003,-66.85174,72081,LARES,40400,72.0
633,Cayey,PR,18.194526999999997,-66.18346700000001,72041,CIDRA,40200,72.0
634,Cayey,PR,18.111528,-66.177083,72035,CAYEY,40170,72.0
635,Ceiba,PR,18.262902,-65.646529,72037,CEIBA,40180,72.0
636,Rosario,PR,18.113284,-67.03970600000001,72125,SAN GERMAN,40630,72.0
637,Sabana Grande,PR,18.073078,-66.94864,72121,SABANA GRANDE,40610,72.0
638,Ciales,PR,18.308139,-66.49835,72039,CIALES,40190,72.0
639,Cidra,PR,18.176094,-66.158728,72041,CIDRA,40200,72.0
640,Coamo,PR,18.077197,-66.359104,72043,COAMO,40210,72.0
641,Utuado,PR,18.268895999999998,-66.70519,72141,UTUADO,40710,72.0
643,Corozal,PR,18.341254,-66.31519399999999,72047,COROZAL,40230,72.0
644,Coto Laurel,PR,18.049577,-66.55218,72113,PONCE,40560,72.0
